struct_names,code
Background+FreeSurfer_Defined_Medial_Wall,65793
17Networks_LH_VisCent_Striate_1,8852088
17Networks_LH_VisCent_Striate_2,8917624
17Networks_LH_VisCent_Striate_3,8983160
17Networks_LH_VisCent_Striate_4,9048696
17Networks_LH_VisCent_ExStr_1,8524152
17Networks_LH_VisCent_ExStr_2,8589688
17Networks_LH_VisCent_ExStr_3,8655224
17Networks_LH_VisCent_ExStr_4,8720760
17Networks_LH_VisCent_ExStr_5,8786296
17Networks_LH_VisCent_ExStr_6,8851832
17Networks_LH_VisCent_ExStr_7,8393336
17Networks_LH_VisCent_ExStr_8,8458872
17Networks_LH_VisCent_ExStr_9,8524408
17Networks_LH_VisCent_ExStr_10,8589944
17Networks_LH_VisCent_ExStr_11,8655480
17Networks_LH_VisCent_ExStr_12,8721016
17Networks_LH_VisCent_ExStr_13,8786552
17Networks_LH_VisCent_ExStr_14,9114232
17Networks_LH_VisCent_ExStr_15,9179768
17Networks_LH_VisCent_ExStr_16,9245304
17Networks_LH_VisCent_ExStr_17,9310840
17Networks_LH_VisCent_ExStr_18,8852344
17Networks_LH_VisCent_ExStr_19,8917880
17Networks_LH_VisCent_ExStr_20,8983416
17Networks_LH_VisCent_ExStr_21,9048952
17Networks_LH_VisCent_ExStr_22,9114488
17Networks_LH_VisCent_ExStr_23,9180024
17Networks_LH_VisCent_ExStr_24,9245560
17Networks_LH_VisCent_ExStr_25,9311096
17Networks_LH_VisCent_ExStr_26,8852600
17Networks_LH_VisCent_ExStr_27,8918136
17Networks_LH_VisCent_ExStr_28,8983672
17Networks_LH_VisCent_ExStr_29,9049208
17Networks_LH_VisCent_ExStr_30,9114744
17Networks_LH_VisPeri_StriCal_1,65791
17Networks_LH_VisPeri_StriCal_2,131327
17Networks_LH_VisPeri_StriCal_3,196863
17Networks_LH_VisPeri_StriCal_4,262399
17Networks_LH_VisPeri_StriCal_5,327935
17Networks_LH_VisPeri_StriCal_6,393471
17Networks_LH_VisPeri_StriCal_7,459007
17Networks_LH_VisPeri_StriCal_8,511
17Networks_LH_VisPeri_StriCal_9,66047
17Networks_LH_VisPeri_StriCal_10,131583
17Networks_LH_VisPeri_ExStrInf_1,255
17Networks_LH_VisPeri_ExStrInf_2,524543
17Networks_LH_VisPeri_ExStrInf_3,197119
17Networks_LH_VisPeri_ExStrInf_4,262655
17Networks_LH_VisPeri_ExStrInf_5,328191
17Networks_LH_VisPeri_ExStrInf_6,393727
17Networks_LH_VisPeri_ExStrInf_7,459263
17Networks_LH_VisPeri_ExStrInf_8,524799
17Networks_LH_VisPeri_ExStrInf_9,66303
17Networks_LH_VisPeri_ExStrInf_10,131839
17Networks_LH_VisPeri_ExStrSup_1,767
17Networks_LH_VisPeri_ExStrSup_2,197375
17Networks_LH_VisPeri_ExStrSup_3,262911
17Networks_LH_VisPeri_ExStrSup_4,328447
17Networks_LH_VisPeri_ExStrSup_5,393983
17Networks_LH_VisPeri_ExStrSup_6,459519
17Networks_LH_VisPeri_ExStrSup_7,1023
17Networks_LH_VisPeri_ExStrSup_8,66559
17Networks_LH_VisPeri_ExStrSup_9,132095
17Networks_LH_VisPeri_ExStrSup_10,197631
17Networks_LH_VisPeri_ExStrSup_11,263167
17Networks_LH_VisPeri_ExStrSup_12,328703
17Networks_LH_SomMotA_1,11632710
17Networks_LH_SomMotA_2,11698246
17Networks_LH_SomMotA_3,11763782
17Networks_LH_SomMotA_4,11829318
