ID age hemi ageHemi sex_demean
28328 -7.034125 1 -7.034125 0.6125
28328 -7.034125 0 0 0.6125
28329 -6.764125 1 -6.764125 0.6125
28329 -6.764125 0 0 0.6125
28330 -2.144125 1 -2.144125 -0.3875
28330 -2.144125 0 0 -0.3875
28337 15.835875 1 15.835875 -0.3875
28337 15.835875 0 0 -0.3875
28338 -7.244125 1 -7.244125 -0.3875
28338 -7.244125 0 0 -0.3875
28341 -2.694125 1 -2.694125 -0.3875
28341 -2.694125 0 0 -0.3875
28342 -5.524125 1 -5.524125 -0.3875
28342 -5.524125 0 0 -0.3875
28348 -14.354125 1 -14.354125 0.6125
28348 -14.354125 0 0 0.6125
28350 12.315875 1 12.315875 -0.3875
28350 12.315875 0 0 -0.3875
28352 -7.664125 1 -7.664125 -0.3875
28352 -7.664125 0 0 -0.3875
28356 5.705875 1 5.705875 -0.3875
28356 5.705875 0 0 -0.3875
28360 16.525875 1 16.525875 -0.3875
28360 16.525875 0 0 -0.3875
28363 -11.484125 1 -11.484125 0.6125
28363 -11.484125 0 0 0.6125
28364 -13.014125 1 -13.014125 -0.3875
28364 -13.014125 0 0 -0.3875
28365 -14.684125 1 -14.684125 -0.3875
28365 -14.684125 0 0 -0.3875
28366 -13.974125 1 -13.974125 -0.3875
28366 -13.974125 0 0 -0.3875
28367 -7.924125 1 -7.924125 -0.3875
28367 -7.924125 0 0 -0.3875
28370 -14.624125 1 -14.624125 -0.3875
28370 -14.624125 0 0 -0.3875
28371 -6.394125 1 -6.394125 0.6125
28371 -6.394125 0 0 0.6125
28373 10.895875 1 10.895875 -0.3875
28373 10.895875 0 0 -0.3875
28381 -13.264125 1 -13.264125 -0.3875
28381 -13.264125 0 0 -0.3875
28384 -7.004125 1 -7.004125 -0.3875
28384 -7.004125 0 0 -0.3875
28386 -4.374125 1 -4.374125 -0.3875
28386 -4.374125 0 0 -0.3875
28387 17.175875 1 17.175875 -0.3875
28387 17.175875 0 0 -0.3875
28389 -4.054125 1 -4.054125 0.6125
28389 -4.054125 0 0 0.6125
28390 -15.004125 1 -15.004125 0.6125
28390 -15.004125 0 0 0.6125
28391 -1.474125 1 -1.474125 0.6125
28391 -1.474125 0 0 0.6125
28392 17.345875 1 17.345875 -0.3875
28392 17.345875 0 0 -0.3875
28394 -16.764125 1 -16.764125 0.6125
28394 -16.764125 0 0 0.6125
28397 -2.174125 1 -2.174125 -0.3875
28397 -2.174125 0 0 -0.3875
28400 12.415875 1 12.415875 0.6125
28400 12.415875 0 0 0.6125
28401 16.545875 1 16.545875 -0.3875
28401 16.545875 0 0 -0.3875
28404 0.945875000000001 1 0.945875000000001 -0.3875
28404 0.945875000000001 0 0 -0.3875
28406 10.145875 1 10.145875 0.6125
28406 10.145875 0 0 0.6125
28408 -16.804125 1 -16.804125 -0.3875
28408 -16.804125 0 0 -0.3875
28412 -16.614125 1 -16.614125 0.6125
28412 -16.614125 0 0 0.6125
28415 -5.454125 1 -5.454125 -0.3875
28415 -5.454125 0 0 -0.3875
28416 -5.924125 1 -5.924125 0.6125
28416 -5.924125 0 0 0.6125
28417 -5.734125 1 -5.734125 -0.3875
28417 -5.734125 0 0 -0.3875
28422 -4.59412500000001 1 -4.59412500000001 -0.3875
28422 -4.59412500000001 0 0 -0.3875
28423 -6.814125 1 -6.814125 0.6125
28423 -6.814125 0 0 0.6125
28425 -14.484125 1 -14.484125 0.6125
28425 -14.484125 0 0 0.6125
28427 -11.804125 1 -11.804125 0.6125
28427 -11.804125 0 0 0.6125
28428 8.345875 1 8.345875 -0.3875
28428 8.345875 0 0 -0.3875
28429 5.125875 1 5.125875 -0.3875
28429 5.125875 0 0 -0.3875
28431 10.125875 1 10.125875 0.6125
28431 10.125875 0 0 0.6125
28432 16.245875 1 16.245875 -0.3875
28432 16.245875 0 0 -0.3875
28435 -4.494125 1 -4.494125 0.6125
28435 -4.494125 0 0 0.6125
28439 -12.124125 1 -12.124125 0.6125
28439 -12.124125 0 0 0.6125
28440 -3.254125 1 -3.254125 -0.3875
28440 -3.254125 0 0 -0.3875
28441 7.675875 1 7.675875 0.6125
28441 7.675875 0 0 0.6125
28442 -8.184125 1 -8.184125 -0.3875
28442 -8.184125 0 0 -0.3875
28443 -1.324125 1 -1.324125 0.6125
28443 -1.324125 0 0 0.6125
28446 13.385875 1 13.385875 0.6125
28446 13.385875 0 0 0.6125
28447 14.275875 1 14.275875 0.6125
28447 14.275875 0 0 0.6125
28449 -8.544125 1 -8.544125 -0.3875
28449 -8.544125 0 0 -0.3875
28450 7.485875 1 7.485875 -0.3875
28450 7.485875 0 0 -0.3875
28451 6.105875 1 6.105875 -0.3875
28451 6.105875 0 0 -0.3875
28454 5.415875 1 5.415875 0.6125
28454 5.415875 0 0 0.6125
28456 16.245875 1 16.245875 0.6125
28456 16.245875 0 0 0.6125
28458 -2.074125 1 -2.074125 -0.3875
28458 -2.074125 0 0 -0.3875
28460 -0.454125000000005 1 -0.454125000000005 -0.3875
28460 -0.454125000000005 0 0 -0.3875
28461 16.445875 1 16.445875 -0.3875
28461 16.445875 0 0 -0.3875
28462 -6.474125 1 -6.474125 0.6125
28462 -6.474125 0 0 0.6125
28465 -15.834125 1 -15.834125 -0.3875
28465 -15.834125 0 0 -0.3875
28467 -3.104125 1 -3.104125 -0.3875
28467 -3.104125 0 0 -0.3875
28468 6.805875 1 6.805875 -0.3875
28468 6.805875 0 0 -0.3875
28469 12.955875 1 12.955875 0.6125
28469 12.955875 0 0 0.6125
28470 5.685875 1 5.685875 -0.3875
28470 5.685875 0 0 -0.3875
28472 4.945875 1 4.945875 0.6125
28472 4.945875 0 0 0.6125
28475 16.545875 1 16.545875 0.6125
28475 16.545875 0 0 0.6125
28479 3.425875 1 3.425875 0.6125
28479 3.425875 0 0 0.6125
28480 2.755875 1 2.755875 -0.3875
28480 2.755875 0 0 -0.3875
28481 4.365875 1 4.365875 -0.3875
28481 4.365875 0 0 -0.3875
28483 9.495875 1 9.495875 -0.3875
28483 9.495875 0 0 -0.3875
28486 0.305875 1 0.305875 -0.3875
28486 0.305875 0 0 -0.3875
28488 3.825875 1 3.825875 -0.3875
28488 3.825875 0 0 -0.3875
28491 -13.304125 1 -13.304125 -0.3875
28491 -13.304125 0 0 -0.3875
28492 15.385875 1 15.385875 0.6125
28492 15.385875 0 0 0.6125
28493 15.855875 1 15.855875 0.6125
28493 15.855875 0 0 0.6125
28495 3.055875 1 3.055875 -0.3875
28495 3.055875 0 0 -0.3875
28496 -15.064125 1 -15.064125 0.6125
28496 -15.064125 0 0 0.6125
28497 11.625875 1 11.625875 -0.3875
28497 11.625875 0 0 -0.3875
28499 14.055875 1 14.055875 0.6125
28499 14.055875 0 0 0.6125
28500 -4.654125 1 -4.654125 0.6125
28500 -4.654125 0 0 0.6125
28505 -16.754125 1 -16.754125 0.6125
28505 -16.754125 0 0 0.6125
28507 -0.594125000000005 1 -0.594125000000005 0.6125
28507 -0.594125000000005 0 0 0.6125
28508 -8.834125 1 -8.834125 -0.3875
28508 -8.834125 0 0 -0.3875
28509 13.885875 1 13.885875 -0.3875
28509 13.885875 0 0 -0.3875
28510 13.795875 1 13.795875 -0.3875
28510 13.795875 0 0 -0.3875
28511 -13.954125 1 -13.954125 -0.3875
28511 -13.954125 0 0 -0.3875
28512 14.135875 1 14.135875 -0.3875
28512 14.135875 0 0 -0.3875
28513 -10.824125 1 -10.824125 0.6125
28513 -10.824125 0 0 0.6125
28514 -3.064125 1 -3.064125 0.6125
28514 -3.064125 0 0 0.6125
28515 13.395875 1 13.395875 -0.3875
28515 13.395875 0 0 -0.3875
28517 -14.364125 1 -14.364125 0.6125
28517 -14.364125 0 0 0.6125
28521 2.235875 1 2.235875 -0.3875
28521 2.235875 0 0 -0.3875
28522 -2.514125 1 -2.514125 -0.3875
28522 -2.514125 0 0 -0.3875
28523 12.175875 1 12.175875 0.6125
28523 12.175875 0 0 0.6125
28526 5.095875 1 5.095875 0.6125
28526 5.095875 0 0 0.6125
28527 -13.864125 1 -13.864125 0.6125
28527 -13.864125 0 0 0.6125
28528 15.925875 1 15.925875 0.6125
28528 15.925875 0 0 0.6125
28530 12.355875 1 12.355875 -0.3875
28530 12.355875 0 0 -0.3875
28531 -16.234125 1 -16.234125 -0.3875
28531 -16.234125 0 0 -0.3875
28532 -3.394125 1 -3.394125 -0.3875
28532 -3.394125 0 0 -0.3875
28533 9.265875 1 9.265875 -0.3875
28533 9.265875 0 0 -0.3875
28534 16.795875 1 16.795875 0.6125
28534 16.795875 0 0 0.6125
28539 -13.284125 1 -13.284125 -0.3875
28539 -13.284125 0 0 -0.3875
28541 8.295875 1 8.295875 -0.3875
28541 8.295875 0 0 -0.3875
28546 -15.794125 1 -15.794125 0.6125
28546 -15.794125 0 0 0.6125
28547 -5.374125 1 -5.374125 -0.3875
28547 -5.374125 0 0 -0.3875
28548 3.325875 1 3.325875 -0.3875
28548 3.325875 0 0 -0.3875
28549 -16.054125 1 -16.054125 -0.3875
28549 -16.054125 0 0 -0.3875
28550 -15.334125 1 -15.334125 -0.3875
28550 -15.334125 0 0 -0.3875
28551 -12.844125 1 -12.844125 0.6125
28551 -12.844125 0 0 0.6125
28552 11.355875 1 11.355875 -0.3875
28552 11.355875 0 0 -0.3875
28553 -6.744125 1 -6.744125 0.6125
28553 -6.744125 0 0 0.6125
28554 11.165875 1 11.165875 -0.3875
28554 11.165875 0 0 -0.3875
28556 -0.534125000000003 1 -0.534125000000003 -0.3875
28556 -0.534125000000003 0 0 -0.3875
28558 -12.674125 1 -12.674125 -0.3875
28558 -12.674125 0 0 -0.3875
28559 -12.494125 1 -12.494125 -0.3875
28559 -12.494125 0 0 -0.3875
28561 12.005875 1 12.005875 -0.3875
28561 12.005875 0 0 -0.3875
28562 -13.214125 1 -13.214125 -0.3875
28562 -13.214125 0 0 -0.3875
28563 7.465875 1 7.465875 -0.3875
28563 7.465875 0 0 -0.3875
28564 2.705875 1 2.705875 -0.3875
28564 2.705875 0 0 -0.3875
28568 3.665875 1 3.665875 0.6125
28568 3.665875 0 0 0.6125
28571 -16.934125 1 -16.934125 0.6125
28571 -16.934125 0 0 0.6125
28573 6.785875 1 6.785875 0.6125
28573 6.785875 0 0 0.6125
28574 12.845875 1 12.845875 0.6125
28574 12.845875 0 0 0.6125
28576 -4.584125 1 -4.584125 -0.3875
28576 -4.584125 0 0 -0.3875
28579 -15.734125 1 -15.734125 -0.3875
28579 -15.734125 0 0 -0.3875
28582 10.945875 1 10.945875 0.6125
28582 10.945875 0 0 0.6125
28584 13.735875 1 13.735875 -0.3875
28584 13.735875 0 0 -0.3875
28585 -6.104125 1 -6.104125 -0.3875
28585 -6.104125 0 0 -0.3875
28588 11.025875 1 11.025875 0.6125
28588 11.025875 0 0 0.6125
28592 3.465875 1 3.465875 -0.3875
28592 3.465875 0 0 -0.3875
28596 -0.584125 1 -0.584125 0.6125
28596 -0.584125 0 0 0.6125
28597 15.015875 1 15.015875 0.6125
28597 15.015875 0 0 0.6125
28602 -8.314125 1 -8.314125 -0.3875
28602 -8.314125 0 0 -0.3875
28603 -1.544125 1 -1.544125 0.6125
28603 -1.544125 0 0 0.6125
28604 -14.904125 1 -14.904125 -0.3875
28604 -14.904125 0 0 -0.3875
28608 0.625875000000001 1 0.625875000000001 -0.3875
28608 0.625875000000001 0 0 -0.3875
28611 9.285875 1 9.285875 -0.3875
28611 9.285875 0 0 -0.3875
28614 16.265875 1 16.265875 -0.3875
28614 16.265875 0 0 -0.3875
28617 13.095875 1 13.095875 -0.3875
28617 13.095875 0 0 -0.3875
28618 -11.144125 1 -11.144125 -0.3875
28618 -11.144125 0 0 -0.3875
