file rG rSD pval t1 t2 trait1 trait2 origorder1 origorder2 fdr meas
GENCX-01-02-reorder-cut0025.hsq -0.052485 0.215705 0.40342 01 02 R_Parieto-occipital_sulcus R_Inferior-parietal_Lateral-occipital 01 02 0.449525142857143 area
GENCX-01-03-reorder-cut0025.hsq -0.218592 0.185889 0.11744 01 03 R_Parieto-occipital_sulcus R_Cingulate 01 03 0.208189090909091 area
GENCX-01-05-reorder-cut0025.hsq -0.388328 0.194267 0.019798 01 05 R_Parieto-occipital_sulcus R_Superior-temporal-sulcus 01 05 0.0735874285714286 area
GENCX-01-06-reorder-cut0025.hsq 0.211244 0.245565 0.19388 01 06 R_Parieto-occipital_sulcus R_Superior-frontal-gyrus 01 06 0.28418 area
GENCX-01-07-reorder-cut0025.hsq 0.079351 0.17759 0.32595 01 07 R_Parieto-occipital_sulcus R_Gyrus-rectus 01 07 0.39114 area
GENCX-01-08-reorder-cut0025.hsq -0.32836 0.167756 0.023724 01 08 R_Parieto-occipital_sulcus L_Postcentral-gyrus_Supramarginal 01 08 0.0841123636363636 area
GENCX-01-09-reorder-cut0025.hsq 0.181005 0.216299 0.19674 01 09 R_Parieto-occipital_sulcus L_Anterior-temporal_Parahippocampal-gyrus 01 09 0.28418 area
GENCX-01-10-reorder-cut0025.hsq -0.315982 0.244984 0.087334 01 10 R_Parieto-occipital_sulcus L_Anterior-cingulate_Subcallosal 01 10 0.179264526315789 area
GENCX-01-11-reorder-cut0025.hsq 0.227109 0.135295 0.03747 01 11 R_Parieto-occipital_sulcus L_Anterior-insula 01 11 0.11241 area
GENCX-01-12-reorder-cut0025.hsq -0.015979 0.175926 0.46374 01 12 R_Parieto-occipital_sulcus L_Retrosplenial-cortex 01 12 0.469762597402597 area
GENCX-01-13-reorder-cut0025.hsq -0.336485 0.31292 0.12171 01 13 R_Parieto-occipital_sulcus L_Temporal-pole_Inferior-temporal-gyrus 01 13 0.210964 area
GENCX-01-14-reorder-cut0025.hsq 0.43887 0.314036 0.063102 01 14 R_Parieto-occipital_sulcus L_Superior-frontal-gyrus 01 14 0.149204823529412 area
GENCX-02-03-reorder-cut0025.hsq 0.235889 0.195392 0.11121 02 03 R_Inferior-parietal_Lateral-occipital R_Cingulate 02 03 0.208189090909091 area
GENCX-02-05-reorder-cut0025.hsq 0.490995 0.21189 0.0045237 02 05 R_Inferior-parietal_Lateral-occipital R_Superior-temporal-sulcus 02 05 0.0273336 area
GENCX-02-06-reorder-cut0025.hsq -0.590275 0.297434 0.011759 02 06 R_Inferior-parietal_Lateral-occipital R_Superior-frontal-gyrus 02 06 0.0539530588235294 area
GENCX-02-07-reorder-cut0025.hsq -0.109346 0.18281 0.27282 02 07 R_Inferior-parietal_Lateral-occipital R_Gyrus-rectus 02 07 0.354666 area
GENCX-02-08-reorder-cut0025.hsq -0.834804 0.123357 1.6877e-06 02 08 R_Inferior-parietal_Lateral-occipital L_Postcentral-gyrus_Supramarginal 02 08 6.58203e-05 area
GENCX-02-09-reorder-cut0025.hsq -0.682872 0.222159 0.00092665 02 09 R_Inferior-parietal_Lateral-occipital L_Anterior-temporal_Parahippocampal-gyrus 02 09 0.0115743333333333 area
GENCX-02-10-reorder-cut0025.hsq 0.27607 0.248129 0.13134 02 10 R_Inferior-parietal_Lateral-occipital L_Anterior-cingulate_Subcallosal 02 10 0.21688875 area
GENCX-02-11-reorder-cut0025.hsq -0.042838 0.12643 0.36593 02 11 R_Inferior-parietal_Lateral-occipital L_Anterior-insula 02 11 0.41366 area
GENCX-02-12-reorder-cut0025.hsq -0.32757 0.177172 0.03261 02 12 R_Inferior-parietal_Lateral-occipital L_Retrosplenial-cortex 02 12 0.1059825 area
GENCX-02-13-reorder-cut0025.hsq -0.282604 0.288189 0.17263 02 13 R_Inferior-parietal_Lateral-occipital L_Temporal-pole_Inferior-temporal-gyrus 02 13 0.2693028 area
GENCX-02-14-reorder-cut0025.hsq -0.578523 0.390655 0.039711 02 14 R_Inferior-parietal_Lateral-occipital L_Superior-frontal-gyrus 02 14 0.114720666666667 area
GENCX-03-05-reorder-cut0025.hsq 0.016283 0.167247 0.46188 03 05 R_Cingulate R_Superior-temporal-sulcus 03 05 0.469762597402597 area
GENCX-03-06-reorder-cut0025.hsq -0.293109 0.214942 0.099499 03 06 R_Cingulate R_Superior-frontal-gyrus 03 06 0.19402305 area
GENCX-03-07-reorder-cut0025.hsq -0.091735 0.1583 0.28071 03 07 R_Cingulate R_Gyrus-rectus 03 07 0.358940655737705 area
GENCX-03-08-reorder-cut0025.hsq -0.315125 0.146718 0.01539 03 08 R_Cingulate L_Postcentral-gyrus_Supramarginal 03 08 0.0634263157894737 area
GENCX-03-09-reorder-cut0025.hsq -0.274522 0.18973 0.074951 03 09 R_Cingulate L_Anterior-temporal_Parahippocampal-gyrus 03 09 0.162393833333333 area
GENCX-03-10-reorder-cut0025.hsq 0.338699 0.201508 0.059113 03 10 R_Cingulate L_Anterior-cingulate_Subcallosal 03 10 0.148735935483871 area
GENCX-03-11-reorder-cut0025.hsq 0.32256 0.115104 0.0016599 03 11 R_Cingulate L_Anterior-insula 03 11 0.01294722 area
GENCX-03-12-reorder-cut0025.hsq 0.063157 0.153048 0.34273 03 12 R_Cingulate L_Retrosplenial-cortex 03 12 0.403604117647059 area
