rG rGp rGlwr rGupr trait1 trait2 TT1 TT2 h2_1 h2_2 fdr
-0.797825313644992 0.366831181416244 -1 NA 01 02 R_Parieto-occipital_sulcus R_Inferior-parietal_Lateral-occipital 0.058 0.034 0.831621005802934
-0.0672920365481899 0.863870206148185 -1 1 01 03 R_Parieto-occipital_sulcus R_Cingulate 0.058 0.192 0.935859389993868
-0.146085491372364 0.661964711222869 -1 NA 01 05 R_Parieto-occipital_sulcus R_Superior-temporal-sulcus 0.058 0.267 0.88217996738251
-0.999999999953571 0.52764140168025 NA NA 01 06 R_Parieto-occipital_sulcus R_Superior-frontal-gyrus 0.057 0.01 0.88217996738251
-0.533759590645316 0.646745278261116 NA 1 01 07 R_Parieto-occipital_sulcus R_Gyrus-rectus 0.057 0.02 0.88217996738251
-0.319504914493802 0.37316327183465 -1 1 01 08 R_Parieto-occipital_sulcus L_Postcentral-gyrus_Supramarginal 0.054 0.253 0.831621005802934
0.301278286871489 0.68990997449145 -1 1 01 09 R_Parieto-occipital_sulcus L_Anterior-temporal_Parahippocampal-gyrus 0.059 0.045 0.88217996738251
-0.572431680366441 0.299680868609359 -1 1 01 10 R_Parieto-occipital_sulcus L_Anterior-cingulate_Subcallosal 0.055 0.093 0.806038198328621
-0.0351803355982335 0.92255137819415 -1 1 01 11 R_Parieto-occipital_sulcus L_Anterior-insula 0.058 0.207 0.946829046041364
-0.999999999973368 0.310700294282712 NA NA 01 12 R_Parieto-occipital_sulcus L_Retrosplenial-cortex 0.06 0.015 0.807820765135052
-0.335044301733863 0.473129598038859 -1 1 01 13 R_Parieto-occipital_sulcus L_Temporal-pole_Inferior-temporal-gyrus 0.06 0.127 0.88217996738251
-0.215672308958194 0.678253051708798 -1 NA 01 14 R_Parieto-occipital_sulcus L_Superior-frontal-gyrus 0.059 0.102 0.88217996738251
0.073656568893344 0.884689762777398 NA 1 02 03 R_Inferior-parietal_Lateral-occipital R_Cingulate 0.034 0.192 0.945284952008726
-0.83354596001433 0.0494809976254007 -1 NA 02 05 R_Inferior-parietal_Lateral-occipital R_Superior-temporal-sulcus 0.035 0.268 0.273299918394077
-0.999999997361623 0.555134978217475 NA NA 02 06 R_Inferior-parietal_Lateral-occipital R_Superior-frontal-gyrus 0.034 0.012 0.88217996738251
-0.999999999987214 0.0412889064560121 NA -0.672422673339469 02 07 R_Inferior-parietal_Lateral-occipital R_Gyrus-rectus 0.062 0.055 0.267718705702106
0.999999999999756 0.00055941503278414 0.685452328418537 NA 02 08 R_Inferior-parietal_Lateral-occipital L_Postcentral-gyrus_Supramarginal 0.07 0.261 0.0342235005716503
-0.999999999934736 0.0168562965188442 NA -0.677809751383324 02 09 R_Inferior-parietal_Lateral-occipital L_Anterior-temporal_Parahippocampal-gyrus 0.066 0.072 0.219131854744975
-0.735383495163026 0.271103132126192 -1 0.494393250094169 02 10 R_Inferior-parietal_Lateral-occipital L_Anterior-cingulate_Subcallosal 0.035 0.097 0.772032862437539
0.668400620013453 0.149575315020343 -1 NA 02 11 R_Inferior-parietal_Lateral-occipital L_Anterior-insula 0.034 0.207 0.530312480526671
-0.999999999366072 0.585366997746968 NA 1 02 12 R_Inferior-parietal_Lateral-occipital L_Retrosplenial-cortex 0.038 0.008 0.88217996738251
0.110598440014618 0.858613433779314 -1 1 02 13 R_Inferior-parietal_Lateral-occipital L_Temporal-pole_Inferior-temporal-gyrus 0.033 0.126 0.935859389993868
0.495578843102687 0.468567584487766 -1 1 02 14 R_Inferior-parietal_Lateral-occipital L_Superior-frontal-gyrus 0.033 0.101 0.88217996738251
0.17529157501892 0.365227028252824 0.17529157501892 0.576074466653267 03 05 R_Cingulate R_Superior-temporal-sulcus 0.19 0.266 0.831621005802934
-0.617334474805442 0.512024540333802 NA 1 03 06 R_Cingulate R_Superior-frontal-gyrus 0.192 0.01 0.88217996738251
-0.999999999997434 0.0805752135629468 NA -0.60997924155237 03 07 R_Cingulate R_Gyrus-rectus 0.195 0.026 0.338216451023418
0.000485999877453333 0.997984510903878 -0.327822056600218 0.0636115311236737 03 08 R_Cingulate L_Postcentral-gyrus_Supramarginal 0.192 0.259 0.997984510903878
0.0446523146635488 0.919059352752958 NA 0.999999999999334 03 09 R_Cingulate L_Anterior-temporal_Parahippocampal-gyrus 0.193 0.044 0.946829046041364
-0.403838464602438 0.19369171780043 -1 -0.403838464602438 03 10 R_Cingulate L_Anterior-cingulate_Subcallosal 0.19 0.093 0.656867564714503
-0.108007572271458 0.604528110216503 -0.405876097344122 -0.0872957717875852 03 11 R_Cingulate L_Anterior-insula 0.193 0.207 0.88217996738251
-0.999999999980891 0.243338527967544 NA -0.134023136751653 03 12 R_Cingulate L_Retrosplenial-cortex 0.193 0.011 0.772032862437539
-0.319476004619195 0.247462303901646 -1 -0.198808166753992 03 13 R_Cingulate L_Temporal-pole_Inferior-temporal-gyrus 0.191 0.125 0.772032862437539
0.766382064125391 0.0225647856412522 0.33036044999977 1 03 14 R_Cingulate L_Superior-frontal-gyrus 0.192 0.103 0.251436182859668
-0.00696486726659832 0.993285779544787 -1 1 05 06 R_Superior-temporal-sulcus R_Superior-frontal-gyrus 0.267 0.009 0.997984510903878
0.375504051820912 0.482997439848751 -1 1 05 07 R_Superior-temporal-sulcus R_Gyrus-rectus 0.267 0.022 0.88217996738251
0.429999397231622 0.00889920748264634 0.108512845059018 0.788256828627946 05 08 R_Superior-temporal-sulcus L_Postcentral-gyrus_Supramarginal 0.264 0.257 0.185091798673683
0.79093132166552 0.0317618661232971 0.79093132166552 1 05 09 R_Superior-temporal-sulcus L_Anterior-temporal_Parahippocampal-gyrus 0.267 0.045 0.267718705702106
0.090600715802931 0.725039704783058 -1 1 05 10 R_Superior-temporal-sulcus L_Anterior-cingulate_Subcallosal 0.267 0.096 0.897692701228684
0.361381862540963 0.0446197842836843 0.361381862540963 0.728499282973575 05 11 R_Superior-temporal-sulcus L_Anterior-insula 0.265 0.205 0.267718705702106
0.999999697456626 0.587363410653516 -1 NA 05 12 R_Superior-temporal-sulcus L_Retrosplenial-cortex 0.268 0.002 0.88217996738251
-0.0815806457614938 0.727119125113566 -0.590486291280519 -0.0815806457614938 05 13 R_Superior-temporal-sulcus L_Temporal-pole_Inferior-temporal-gyrus 0.269 0.127 0.897692701228684
0.228979887254459 0.372500735653477 -0.999999995251829 1 05 14 R_Superior-temporal-sulcus L_Superior-frontal-gyrus 0.266 0.1 0.831621005802934
0.999999999998147 0.277140001900655 -1 NA 06 07 R_Superior-frontal-gyrus R_Gyrus-rectus 0.034 0.04 0.772032862437539
0.507606146838055 0.516344129315685 -1 NA 06 08 R_Superior-frontal-gyrus L_Postcentral-gyrus_Supramarginal 0.01 0.261 0.88217996738251
0.885988488893346 0.631180656810179 -1 NA 06 09 R_Superior-frontal-gyrus L_Anterior-temporal_Parahippocampal-gyrus 0.01 0.044 0.88217996738251
0.999999999993266 0.357030915564574 -1 NA 06 10 R_Superior-frontal-gyrus L_Anterior-cingulate_Subcallosal 0.013 0.095 0.831621005802934
0.999999999994914 0.0384601533270525 0.991771403992162 NA 06 11 R_Superior-frontal-gyrus L_Anterior-insula 0.028 0.213 0.267718705702106
-0.999999999996755 0.666982607183781 NA 1 06 12 R_Superior-frontal-gyrus L_Retrosplenial-cortex 0.015 0.008 0.88217996738251
-0.221467107496532 0.849090917002641 -1 0.999999999999974 06 13 R_Superior-frontal-gyrus L_Temporal-pole_Inferior-temporal-gyrus 0.009 0.126 0.935859389993868
-0.999999999998167 0.056061521721862 NA 0.0756226629322338 06 14 R_Superior-frontal-gyrus L_Superior-frontal-gyrus 0.038 0.113 0.273299918394077
-0.358008073094613 0.500640626913784 NA 1 07 08 R_Gyrus-rectus L_Postcentral-gyrus_Supramarginal 0.022 0.261 0.88217996738251
-0.999999999983075 0.0557735425989976 NA -0.991221741087838 07 09 R_Gyrus-rectus L_Anterior-temporal_Parahippocampal-gyrus 0.051 0.066 0.273299918394077
0.567079739935262 0.529286367695163 -0.999999999992477 0.999999999999931 07 10 R_Gyrus-rectus L_Anterior-cingulate_Subcallosal 0.021 0.096 0.88217996738251
0.99999999980742 0.0294308477224633 0.920784730416656 NA 07 11 R_Gyrus-rectus L_Anterior-insula 0.032 0.211 0.267718705702106
0.999999999591721 0.658452281961335 -1 NA 07 12 R_Gyrus-rectus L_Retrosplenial-cortex 0.025 0.008 0.88217996738251
0.999999999888558 0.130109163116127 NA NA 07 13 R_Gyrus-rectus L_Temporal-pole_Inferior-temporal-gyrus 0.026 0.125 0.483262605859899
-0.999999999789163 0.0823860585826274 NA 1 07 14 R_Gyrus-rectus L_Superior-frontal-gyrus 0.036 0.107 0.338216451023418
-0.10004677443031 0.790565160481217 -1 1 08 09 L_Postcentral-gyrus_Supramarginal L_Anterior-temporal_Parahippocampal-gyrus 0.259 0.044 0.934241726635395
-0.0871052028752625 0.73656837023892 -1 1 08 10 L_Postcentral-gyrus_Supramarginal L_Anterior-cingulate_Subcallosal 0.26 0.095 0.897692701228684
0.590682209165773 0.000877525655683341 0.243858336551324 1 08 11 L_Postcentral-gyrus_Supramarginal L_Anterior-insula 0.261 0.209 0.0342235005716503
0.999999096087683 0.903503047447609 NA NA 08 12 L_Postcentral-gyrus_Supramarginal L_Retrosplenial-cortex 0.26 0 0.946829046041364
0.593924731120211 0.0101831440302697 0.593924731120211 1 08 13 L_Postcentral-gyrus_Supramarginal L_Temporal-pole_Inferior-temporal-gyrus 0.261 0.127 0.185091798673683
0.0506630539943047 0.843310790220787 -1 1 08 14 L_Postcentral-gyrus_Supramarginal L_Superior-frontal-gyrus 0.259 0.101 0.935859389993868
-0.14820065762502 0.802489688263736 -1 1 09 10 L_Anterior-temporal_Parahippocampal-gyrus L_Anterior-cingulate_Subcallosal 0.044 0.095 0.934241726635395
