rG rGp rGlwr rGupr trait1 trait2 TT1 TT2 h2_1 h2_2 fdr
-0.0654165982657274 0.833167239220944 -0.999999999969802 0.161509117700751 01 02 R_Superior-temporal-sulcus R_Lateral-occipital 0.201 0.083 0.917245428564888
0.440488907223541 0.0665016817136006 0.00851291118210439 0.996727015896206 01 04 R_Superior-temporal-sulcus R_Posterior-insula_Sylvian 0.201 0.149 0.493482286280638
-0.263758429176169 0.589200978140653 -1 -0.263758429176169 01 05 R_Superior-temporal-sulcus R_Entorhinal 0.202 0.032 0.900168161048219
0.276662232118576 0.573316772319602 NA 1 01 06 R_Superior-temporal-sulcus R_Superior-insula 0.202 0.032 0.900168161048219
0.999999999995539 0.0197736855431856 0.996373661674617 NA 01 07 R_Superior-temporal-sulcus R_Planum-temporale 0.203 0.042 0.493482286280638
-0.999999999985334 0.133881702928352 NA -0.407639038433876 01 09 R_Superior-temporal-sulcus R_Anterior-insula 0.206 0.014 0.493482286280638
0.076506365967809 0.759642127634226 0.076506365967809 0.643255283958693 01 10 R_Superior-temporal-sulcus L_Cingulate 0.201 0.134 0.914054900385236
-0.31296699738507 0.327752362430386 -1 -0.31296699738507 01 15 R_Superior-temporal-sulcus L_Collateral-sulcus 0.198 0.08 0.791400075662495
0.176127707733597 0.555012969704112 0.176127707733597 1 01 16 R_Superior-temporal-sulcus L_Anterior-transverse-collateral-sulcus 0.202 0.096 0.897815098050769
0.140407042289438 0.637614066470544 -0.452206886665633 1 01 20 R_Superior-temporal-sulcus L_Calcarine-sulcus 0.201 0.09 0.914054900385236
0.341834363627896 0.345338214834544 -1 1 02 04 R_Lateral-occipital R_Posterior-insula_Sylvian 0.081 0.147 0.791400075662495
-0.0468966794107639 0.949024363127405 -1 0.999999996869484 02 05 R_Lateral-occipital R_Entorhinal 0.084 0.032 0.983318502155912
0.759080335726741 0.335639806890593 -0.999999999999969 1 02 06 R_Lateral-occipital R_Superior-insula 0.081 0.028 0.791400075662495
-0.999999997829428 0.0807006707175885 NA 1 02 07 R_Lateral-occipital R_Planum-temporale 0.086 0.043 0.493482286280638
0.999999999997617 0.466672404992981 -1 NA 02 09 R_Lateral-occipital R_Anterior-insula 0.084 0.007 0.861023198737262
-0.35627000489827 0.338384640033578 -1 1 02 10 R_Lateral-occipital L_Cingulate 0.082 0.133 0.791400075662495
-0.172919437330106 0.708570792943403 -1 1 02 15 R_Lateral-occipital L_Collateral-sulcus 0.083 0.083 0.914054900385236
0.625024523426827 0.14805717259635 0.625024523426827 1 02 16 R_Lateral-occipital L_Anterior-transverse-collateral-sulcus 0.086 0.099 0.508946530799952
-0.271893655474675 0.535026156395131 -0.999999999993969 NA 02 20 R_Lateral-occipital L_Calcarine-sulcus 0.084 0.091 0.891710260658551
0.424786891456658 0.470841454719758 -0.999997048120543 1 04 05 R_Posterior-insula_Sylvian R_Entorhinal 0.148 0.03 0.861023198737262
-0.537702586036533 0.366383205853737 -0.969411865268754 0.368465149762847 04 06 R_Posterior-insula_Sylvian R_Superior-insula 0.148 0.029 0.806043052878222
0.999999999306126 0.043696501034623 0.914933709685466 NA 04 07 R_Posterior-insula_Sylvian R_Planum-temporale 0.154 0.041 0.493482286280638
0.999999998236956 0.498791741264039 NA NA 04 09 R_Posterior-insula_Sylvian R_Anterior-insula 0.151 0.004 0.861023198737262
0.44716869022053 0.112728535658428 0.44716869022053 1 04 10 R_Posterior-insula_Sylvian L_Cingulate 0.151 0.136 0.493482286280638
-0.605273999528649 0.0806153729418748 -1 -0.605273999528649 04 15 R_Posterior-insula_Sylvian L_Collateral-sulcus 0.154 0.087 0.493482286280638
-0.0867767898931362 0.803012404269325 -0.0867767898931362 1 04 16 R_Posterior-insula_Sylvian L_Anterior-transverse-collateral-sulcus 0.149 0.096 0.917245428564888
-0.105294756565713 0.762386349576639 -0.999999999341609 -0.105294756565713 04 20 R_Posterior-insula_Sylvian L_Calcarine-sulcus 0.148 0.089 0.914054900385236
-0.86360950087363 0.500958951992589 -1 1 05 06 R_Entorhinal R_Superior-insula 0.03 0.028 0.861023198737262
0.0364393205515198 0.97455126647605 -1 1 05 07 R_Entorhinal R_Planum-temporale 0.031 0.035 0.983318502155912
0.999999999997306 0.260025251183042 -1 NA 05 09 R_Entorhinal R_Anterior-insula 0.046 0.021 0.727367033768895
0.165312095539604 0.781101460329201 NA 1 05 10 R_Entorhinal L_Cingulate 0.031 0.134 0.914054900385236
-0.999999999953279 0.126357444067018 NA 1 05 15 R_Entorhinal L_Collateral-sulcus 0.036 0.084 0.493482286280638
0.151769315637776 0.833859480513535 NA 1 05 16 R_Entorhinal L_Anterior-transverse-collateral-sulcus 0.031 0.095 0.917245428564888
-0.2258583978765 0.746718883281969 -1 1 05 20 R_Entorhinal L_Calcarine-sulcus 0.032 0.091 0.914054900385236
0.445713289142917 0.708662181479091 -0.999999999999788 0.999999999997551 06 07 R_Superior-insula R_Planum-temporale 0.029 0.034 0.914054900385236
0.999999997967018 0.76005645628568 -1 NA 06 09 R_Superior-insula R_Anterior-insula 0.031 0.003 0.914054900385236
-0.0125746135838125 0.983318502155912 -1 1 06 10 R_Superior-insula L_Cingulate 0.03 0.134 0.983318502155912
0.0997175733267514 0.899761371302079 NA 1 06 15 R_Superior-insula L_Collateral-sulcus 0.029 0.081 0.951670681184891
-0.999999999035674 0.134586078076538 NA 1 06 16 R_Superior-insula L_Anterior-transverse-collateral-sulcus 0.034 0.097 0.493482286280638
0.321589689121639 0.655798970436269 -1 1 06 20 R_Superior-insula L_Calcarine-sulcus 0.03 0.09 0.914054900385236
-0.99999999998675 0.407902810616737 NA 1 07 09 R_Planum-temporale R_Anterior-insula 0.045 0.013 0.860456288766001
0.182102411218695 0.75241126057728 NA 1 07 10 R_Planum-temporale L_Cingulate 0.034 0.134 0.914054900385236
-0.808539140672606 0.264497103188689 -1 1 07 15 R_Planum-temporale L_Collateral-sulcus 0.034 0.082 0.727367033768895
-0.999999990864455 0.189236348255544 NA 1 07 16 R_Planum-temporale L_Anterior-transverse-collateral-sulcus 0.031 0.089 0.612235244356172
-0.999999999999821 0.125195169631964 NA 1 07 20 R_Planum-temporale L_Calcarine-sulcus 0.036 0.09 0.493482286280638
0.999999999999976 0.0522950959655106 -0.999999984965285 NA 09 10 R_Anterior-insula L_Cingulate 0.028 0.139 0.493482286280638
0.999999999873254 0.431325921132162 -1 NA 09 15 R_Anterior-insula L_Collateral-sulcus 0.008 0.087 0.860456288766001
-0.999998282378668 0.888344431794443 NA NA 09 16 R_Anterior-insula L_Anterior-transverse-collateral-sulcus 0 0.095 0.951670681184891
-0.999999999999856 0.0448347068715705 NA -0.978749433835897 09 20 R_Anterior-insula L_Calcarine-sulcus 0.034 0.106 0.493482286280638
-0.464287654263505 0.208975294064479 -1 -0.464287654263505 10 15 L_Cingulate L_Collateral-sulcus 0.135 0.083 0.638535620752573
-0.277035822335683 0.438050474280873 -1 -0.277035822335683 10 16 L_Cingulate L_Anterior-transverse-collateral-sulcus 0.135 0.096 0.860456288766001
-0.103026905879358 0.772073626817505 -1 0.517217883460134 10 20 L_Cingulate L_Calcarine-sulcus 0.134 0.09 0.914054900385236
-0.731330071670254 0.106852092966628 -1 -0.731330071670254 15 16 L_Collateral-sulcus L_Anterior-transverse-collateral-sulcus 0.083 0.096 0.493482286280638
0.85667830550459 0.0666326433689373 0.447892335969509 1 15 20 L_Collateral-sulcus L_Calcarine-sulcus 0.078 0.086 0.493482286280638
-0.718248262179065 0.0857148514832241 -1 -0.718248262179065 16 20 L_Anterior-transverse-collateral-sulcus L_Calcarine-sulcus 0.098 0.093 0.493482286280638
