roiorder file h2 sd pval meas cilwr ciupr
L_Postcentral-gyrus_Supramarginal clustSNPX-08-cut0025-config4.hsq 0.107121 0.019021 3.0066e-09 area 0.06983984 0.14440216
L_Anterior-temporal_Parahippocampal-gyrus clustSNPX-09-cut0025-config4.hsq 0.063024 0.018815 0.00044695 area 0.0261466 0.0999014
L_Anterior-cingulate_Subcallosal clustSNPX-10-cut0025-config4.hsq 0.04835 0.018496 0.0044634 area 0.01209784 0.08460216
L_Anterior-insula clustSNPX-11-cut0025-config4.hsq 0.186431 0.019038 0 area 0.14911652 0.22374548
L_Retrosplenial-cortex clustSNPX-12-cut0025-config4.hsq 0.093316 0.018888 2.5702e-07 area 0.05629552 0.13033648
L_Temporal-pole_Inferior-temporal-gyrus clustSNPX-13-cut0025-config4.hsq 0.031949 0.018124 0.03772 area -0.00357404 0.06747204
L_Superior-frontal-gyrus clustSNPX-14-cut0025-config4.hsq 0.029316 0.018217 0.053729 area -0.00638932 0.06502132
R_Parieto-occipital_sulcus clustSNPX-01-cut0025-config4.hsq 0.05967 0.017924 0.00016269 area 0.02453896 0.09480104
R_Inferior-parietal_Lateral-occipital clustSNPX-02-cut0025-config4.hsq 0.05933 0.018373 0.00046068 area 0.02331892 0.09534108
R_Cingulate clustSNPX-03-cut0025-config4.hsq 0.082924 0.019004 5.5574e-06 area 0.04567616 0.12017184
R_Middle-frontal-gyrus clustSNPX-04-cut0025-config4.hsq 0.021292 0.018166 0.12357 area -0.01431336 0.05689736
R_Superior-temporal-sulcus clustSNPX-05-cut0025-config4.hsq 0.077618 0.018741 1.0199e-05 area 0.04088564 0.11435036
R_Superior-frontal-gyrus clustSNPX-06-cut0025-config4.hsq 0.042169 0.018051 0.0078143 area 0.00678904 0.07754896
R_Gyrus-rectus clustSNPX-07-cut0025-config4.hsq 0.087973 0.018494 2.0851e-07 area 0.05172476 0.12422124
L_Cingulate clustSNPX-24-cut0025-config4.hsq 0.068273 0.018486 6.8931e-05 thickness 0.03204044 0.10450556
L_Superior-frontal-gyrus clustSNPX-25-cut0025-config4.hsq 0.009452 0.017451 0.29134 thickness -0.02475196 0.04365596
L_Postcentral clustSNPX-26-cut0025-config4.hsq 0.024337 0.018425 0.098809 thickness -0.011776 0.06045
L_Precentral clustSNPX-27-cut0025-config4.hsq 0.00834 0.017682 0.31902 thickness -0.02631672 0.04299672
 L_Supplementary-motor-cortex clustSNPX-28-cut0025-config4.hsq 0.011817 0.017976 0.25853 thickness -0.02341596 0.04704996
L_Collateral-sulcus clustSNPX-29-cut0025-config4.hsq 0.034124 0.018427 0.033831 thickness -0.00199292 0.07024092
L_Anterior-transverse-collateral-sulcus clustSNPX-30-cut0025-config4.hsq 0.049354 0.018706 0.0043824 thickness 0.01269024 0.08601776
 L_Caudal-middle-frontal clustSNPX-31-cut0025-config4.hsq 0.011336 0.017486 0.25502 thickness -0.02293656 0.04560856
L_Caudal-superior-frontal clustSNPX-32-cut0025-config4.hsq 0.02438 0.017842 0.081585 thickness -0.01059032 0.05935032
L_Rostral-superior-frontal clustSNPX-33-cut0025-config4.hsq 1e-06 0.016885 0.5 thickness -0.0330936 0.0330956
L_Calcarine-sulcus clustSNPX-34-cut0025-config4.hsq 0.060731 0.018518 0.00039545 thickness 0.02443572 0.09702628
R_Superior-temporal-sulcus clustSNPX-15-cut0025-config4.hsq 0.038989 0.018137 0.014123 thickness 0.00344048 0.07453752
R_Lateral-occipital clustSNPX-16-cut0025-config4.hsq 0.05084 0.018455 0.0026736 thickness 0.0146682 0.0870118
R_Lingual-gyrus clustSNPX-17-cut0025-config4.hsq 0.018978 0.017456 0.12994 thickness -0.01523576 0.05319176
R_Posterior-insula_Sylvian clustSNPX-18-cut0025-config4.hsq 0.058862 0.017906 0.00020153 thickness 0.02376624 0.09395776
R_Entorhinal clustSNPX-19-cut0025-config4.hsq 0.033474 0.017452 0.019931 thickness -0.000731919999999997 0.06767992
R_Superior-insula clustSNPX-20-cut0025-config4.hsq 0.03394 0.01788 0.024971 thickness -0.0011048 0.0689848
R_Planum-temporale clustSNPX-21-cut0025-config4.hsq 0.035607 0.018202 0.023767 thickness -6.89200000000001e-05 0.07128292
R_Posterior-cingulate clustSNPX-22-cut0025-config4.hsq 1e-06 0.017296 0.5 thickness -0.03389916 0.03390116
R_Anterior-insula clustSNPX-23-cut0025-config4.hsq 0.042475 0.018268 0.0089533 thickness 0.00666972 0.07828028
