direct ROI Cluster a2 pA c2 e2 LLACE LLCE
Leftward 1 L_Postcentral-gyrus_Supramarginal 0.248_(0_-_0.37) 0.174 0.007 0.744 2918.7 2920.5
Leftward 2 L_Anterior-temporal_Parahippocampal-gyrus 0_(0_-_0.129) 1 0.048 0.952 2938.8 2938.8
Leftward 3 L_Anterior-cingulate_Subcallosal 0.08_(0_-_0.205) 0.641 0.01 0.91 2937.6 2937.8
Leftward 4 L_Anterior-insula 0.207_(0.10129_-_0.314) 0.22 0 0.793 2925.1 2926.6
Leftward 5 L_Retrosplenial-cortex 0_(0_-_0.1) 1 0.01 0.99 2940.8 2940.8
Leftward 6 L_Temporal-pole_Inferior-temporal-gyrus 0.126_(0_-_0.243) 0.093 0 0.874 2935.8 2938.7
Leftward 7 L_Superior-frontal-gyrus 0.06_(0_-_0.213) 0.723 0.027 0.913 2937.5 2937.7
Rightward 8 R_Parieto-occipital_sulcus 0_(0_-_0.167) 1 0.038 0.962 2939.5 2939.5
Rightward 9 R_Inferior-parietal_Lateral-occipital 0.016_(0_-_0.143) 0.93 0.011 0.973 2940.5 2940.5
Rightward 10 R_Cingulate 0.192_(0.07732_-_0.309) 0.016 0 0.808 2929.7 2935.5
Rightward 11 R_Middle-frontal-gyrus 0.024_(0_-_0.139) 0.662 0 0.976 2940.7 2940.9
Rightward 12 R_Superior-temporal-sulcus 0.267_(0_-_0.379) 0.053 0 0.733 2918.6 2922.4
Rightward 13 R_Superior-frontal-gyrus 0_(0_-_0.118) 1 0.009 0.991 2940.8 2940.8
Rightward 14 R_Gyrus-rectus 0_(0_-_0.132) 1 0.014 0.986 2940.7 2940.7
