direct ROI Cluster a2 pA c2 e2 LLACE LLCE
Leftward 1 L_Cingulate 0.134_(0_-_0.245) 0.19 0 0.866 2934.6 2936.3
Leftward 2 L_Superior-frontal-gyrus 0_(0_-_0.182) 1 0.057 0.943 2937.9 2937.9
Leftward 3 L_Postcentral 0.076_(0_-_0.192) 0.217 0 0.924 2939.1 2940.6
Leftward 4 L_Precentral 0_(0_-_0.084) 1 0.01 0.99 2940.8 2940.8
Leftward 5 L_Supplementary-motor-cortex 0.08_(0_-_0.189) 0.599 0 0.92 2938.6 2938.9
Leftward 6 L_Collateral-sulcus 0_(0_-_0.188) 1 0.053 0.947 2938.2 2938.2
Leftward 7 L_Anterior-transverse-collateral-sulcus 0.095_(0_-_0.211) 0.467 0 0.905 2938.1 2938.6
Leftward 8 L_Caudal-middle-frontal 0_(0_-_0.164) 1 0.037 0.963 2939.6 2939.6
Leftward 9 L_Caudal-superior-frontal 0.036_(0_-_0.145) 0.61 0 0.964 2940.4 2940.7
Leftward 10 L_Rostral-superior-frontal 0_(0_-_0.116) 1 0.015 0.985 2940.7 2940.7
Leftward 11 L_Calcarine-sulcus 0.09_(0_-_0.198) 0.462 0 0.91 2937.9 2938.4
Rightward 12 R_Superior-temporal-sulcus 0.198_(0_-_0.313) 0.255 0.002 0.8 2927.8 2929.1
Rightward 13 R_Lateral-occipital 0_(0_-_0.171) 1 0.062 0.938 2937.1 2937.1
Rightward 14 R_Lingual-gyrus 0.213_(0.01094_-_0.324) 0.041 0 0.787 2925.4 2929.6
Rightward 15 R_Posterior-insula_Sylvian 0.08_(0_-_0.26) 0.663 0.045 0.875 2933.4 2933.6
Rightward 16 R_Entorhinal 0.031_(0_-_0.138) 0.774 0 0.969 2940.5 2940.6
Rightward 17 R_Superior-insula 0_(0_-_0.127) 1 0.03 0.97 2939.9 2939.9
Rightward 18 R_Planum-temporale 0.035_(0_-_0.145) 0.68 0 0.965 2940.4 2940.6
Rightward 19 R_Posterior-cingulate 0_(0_-_0.147) 1 0.029 0.971 2939.9 2939.9
Rightward 20 R_Anterior-insula 0_(0_-_0.091) 1 0 1 2940.9 2940.9
