direct ROI Cluster a2 pA c2 e2 LLACE LLCE a2revise pArevise e2revise LLAE LLE rMZ rDZsibPairs
Leftward 1 L_Postcentral-gyrus_Supramarginal 0.248_(0_-_0.37) 0.174263925086427 0.007 0.744 2918.7 2920.5 0.26_(0.148_-_0.37) 2.42980340625917e-06 0.744 2918.7 2940.9 0.254 0.105
Leftward 2 L_Anterior-temporal_Parahippocampal-gyrus 0_(0_-_0.129) 0.999998136129334 0.048 0.952 2938.8 2938.8 0.044_(0_-_0.151) 0.403776229836753 0.952 2940.2 2940.9 -0.078 0.061
Leftward 3 L_Anterior-cingulate_Subcallosal 0.08_(0_-_0.205) 0.640583073927413 0.01 0.91 2937.6 2937.8 0.096_(0_-_0.205) 0.0717057777423233 0.91 2937.6 2940.9 0.082 0.018
Leftward 4 L_Anterior-insula 0.207_(0.10129_-_0.314) 0.220057091972965 0 0.793 2925.1 2926.6 0.207_(0.101_-_0.314) 7.12423222024195e-05 0.793 2925.1 2940.9 0.228 0.073
Leftward 5 L_Retrosplenial-cortex 0_(0_-_0.1) 1 0.01 0.99 2940.8 2940.8 0_(0_-_0.101) 1 0.99 2940.9 2940.9 -0.054 -0.003
Leftward 6 L_Temporal-pole_Inferior-temporal-gyrus 0.126_(0_-_0.243) 0.0925533417802326 0 0.874 2935.8 2938.7 0.126_(0.015_-_0.243) 0.0248430511856281 0.874 2935.8 2940.9 0.253 0.042
Leftward 7 L_Superior-frontal-gyrus 0.06_(0_-_0.213) 0.722888676393542 0.027 0.913 2937.5 2937.7 0.101_(0_-_0.214) 0.0699648095372509 0.913 2937.6 2940.9 0.08 0.031
Rightward 8 R_Parieto-occipital_sulcus 0_(0_-_0.167) 1 0.038 0.962 2939.5 2939.5 0.058_(0_-_0.171) 0.291198046608764 0.962 2939.8 2940.9 0.022 0.039
Rightward 9 R_Inferior-parietal_Lateral-occipital 0.016_(0_-_0.143) 0.929701874839645 0.011 0.973 2940.5 2940.5 0.033_(0_-_0.143) 0.53588859155997 0.973 2940.5 2940.9 0.028 0.04
Rightward 10 R_Cingulate 0.192_(0.07732_-_0.309) 0.0160441918445045 0 0.808 2929.7 2935.5 0.192_(0.077_-_0.309) 0.000847872923740312 0.808 2929.7 2940.9 0.317 0.005
Rightward 11 R_Middle-frontal-gyrus 0.024_(0_-_0.139) 0.662349720897769 0 0.976 2940.7 2940.9 0.024_(0_-_0.139) 0.662349720892482 0.976 2940.7 2940.9 0.128 -0.006
Rightward 12 R_Superior-temporal-sulcus 0.267_(0_-_0.379) 0.0531135565689503 0 0.733 2918.6 2922.4 0.267_(0.154_-_0.379) 2.40078199931794e-06 0.733 2918.6 2940.9 0.283 0.121
Rightward 13 R_Superior-frontal-gyrus 0_(0_-_0.118) 1 0.009 0.991 2940.8 2940.8 0.009_(0_-_0.119) 0.866671108940486 0.991 2940.8 2940.9 -0.02 -0.018
Rightward 14 R_Gyrus-rectus 0_(0_-_0.132) 1 0.014 0.986 2940.7 2940.7 0.021_(0_-_0.133) 0.698237552662972 0.986 2940.7 2940.9 0.028 0.083
