direct ROI Cluster a2 pA c2 e2 LLACE LLCE a2revise pArevise e2revise LLAE LLE rMZ rDZsibPairs
Leftward 1 L_Cingulate 0.134_(0_-_0.245) 0.189735249127726 0 0.866 2934.6 2936.3 0.134_(0.028_-_0.245) 0.0120143983144595 0.866 2934.6 2940.9 0.182 0.01
Leftward 2 L_Superior-frontal-gyrus 0_(0_-_0.182) 1 0.057 0.943 2937.9 2937.9 0.083_(0_-_0.194) 0.130354631385739 0.943 2938.6 2940.9 0.01 0.013
Leftward 3 L_Postcentral 0.076_(0_-_0.192) 0.217325619981418 0 0.924 2939.1 2940.6 0.076_(0_-_0.192) 0.179623999408476 0.924 2939.1 2940.9 0.215 -0.03
Leftward 4 L_Precentral 0_(0_-_0.084) 0.999995973579172 0.01 0.99 2940.8 2940.8 0_(0_-_0.086) 1 0.99 2940.9 2940.9 -0.142 -0.025
Leftward 5 L_Supplementary-motor-cortex 0.08_(0_-_0.189) 0.598907533713483 0 0.92 2938.6 2938.9 0.08_(0_-_0.189) 0.13366130174468 0.92 2938.6 2940.9 0.084 -0.013
Leftward 6 L_Collateral-sulcus 0_(0_-_0.188) 1 0.053 0.947 2938.2 2938.2 0.083_(0_-_0.191) 0.118166720218069 0.947 2938.4 2940.9 0.055 0.028
Leftward 7 L_Anterior-transverse-collateral-sulcus 0.095_(0_-_0.211) 0.466641587920096 0 0.905 2938.1 2938.6 0.095_(0_-_0.211) 0.0953918005049127 0.905 2938.1 2940.9 0.106 0.102
Leftward 8 L_Caudal-middle-frontal 0_(0_-_0.164) 1 0.037 0.963 2939.6 2939.6 0.057_(0_-_0.167) 0.290022522740732 0.963 2939.8 2940.9 0.025 0.079
Leftward 9 L_Caudal-superior-frontal 0.036_(0_-_0.145) 0.609572885968576 0 0.964 2940.4 2940.7 0.036_(0_-_0.145) 0.495154461475696 0.964 2940.4 2940.9 0.074 0.009
Leftward 10 L_Rostral-superior-frontal 0_(0_-_0.116) 0.999985432764621 0.015 0.985 2940.7 2940.7 0.01_(0_-_0.118) 0.858561171196528 0.985 2940.8 2940.9 -0.061 0.022
Leftward 11 L_Calcarine-sulcus 0.09_(0_-_0.198) 0.461524333407776 0 0.91 2937.9 2938.4 0.09_(0_-_0.198) 0.0842319799021304 0.91 2937.9 2940.9 0.116 0.055
Rightward 12 R_Superior-temporal-sulcus 0.198_(0_-_0.313) 0.254739993261625 0.002 0.8 2927.8 2929.1 0.201_(0.09_-_0.313) 0.000295332109606534 0.8 2927.8 2940.9 0.191 0.09
Rightward 13 R_Lateral-occipital 0_(0_-_0.171) 1 0.062 0.938 2937.1 2937.1 0.083_(0_-_0.19) 0.111511009823351 0.938 2938.3 2940.9 -0.011 0.017
Rightward 14 R_Lingual-gyrus 0.213_(0.01094_-_0.324) 0.0410374767915914 0 0.787 2925.4 2929.6 0.213_(0.104_-_0.324) 8.46673848861349e-05 0.787 2925.4 2940.9 0.293 0.062
Rightward 15 R_Posterior-insula_Sylvian 0.08_(0_-_0.26) 0.663395013074692 0.045 0.875 2933.4 2933.6 0.149_(0.039_-_0.262) 0.0069783724311477 0.875 2933.6 2940.9 0.127 0.074
Rightward 16 R_Entorhinal 0.031_(0_-_0.138) 0.773775962302848 0 0.969 2940.5 2940.6 0.031_(0_-_0.138) 0.545538723574365 0.969 2940.5 2940.9 0.05 -0.005
Rightward 17 R_Superior-insula 0_(0_-_0.127) 0.999997152890529 0.03 0.97 2939.9 2939.9 0.03_(0_-_0.135) 0.555719206198545 0.97 2940.5 2940.9 -0.054 -0.005
Rightward 18 R_Planum-temporale 0.035_(0_-_0.145) 0.68036002556903 0 0.965 2940.4 2940.6 0.035_(0_-_0.145) 0.512477944448887 0.965 2940.4 2940.9 0.06 -0.091
Rightward 19 R_Posterior-cingulate 0_(0_-_0.147) 1 0.029 0.971 2939.9 2939.9 0.046_(0_-_0.148) 0.354666365645289 0.971 2940 2940.9 0.033 -0.064
Rightward 20 R_Anterior-insula 0_(0_-_0.091) 1 0 1 2940.9 2940.9 0_(0_-_0.09) 1 1 2940.9 2940.9 0.071 -0.121
