label h2 SE sig meas FDR type bin name
schafSNPX-area-00001-cut0025-config4.hsq 0.077563 0.018646 9.626e-06 area 6.50405405405406e-05 area TRUE lh.17Networks_LH_ContA_Cingm_1
schafSNPX-area-00002-cut0025-config4.hsq 0.093052 0.018703 1.3071e-07 area 2.13870967741935e-06 area TRUE lh.17Networks_LH_ContA_Cingm_2
schafSNPX-area-00003-cut0025-config4.hsq 0.036159 0.018367 0.025193 area 0.0471779026217228 area TRUE lh.17Networks_LH_ContA_IPS_10
schafSNPX-area-00004-cut0025-config4.hsq 0.057084 0.018324 0.00067668 area 0.00257784090909091 area TRUE lh.17Networks_LH_ContA_IPS_1
schafSNPX-area-00005-cut0025-config4.hsq 0.038169 0.0182 0.016446 area 0.0326245059288537 area TRUE lh.17Networks_LH_ContA_IPS_2
schafSNPX-area-00006-cut0025-config4.hsq 0.039675 0.017844 0.010006 area 0.0220396475770925 area TRUE lh.17Networks_LH_ContA_IPS_3
schafSNPX-area-00007-cut0025-config4.hsq 0.04154 0.01824 0.010431 area 0.0226760869565217 area TRUE lh.17Networks_LH_ContA_IPS_4
schafSNPX-area-00008-cut0025-config4.hsq 0.025165 0.017885 0.076661 area 0.1197828125 area FALSE lh.17Networks_LH_ContA_IPS_5
schafSNPX-area-00009-cut0025-config4.hsq 0.052773 0.018109 0.0011379 area 0.0040931654676259 area TRUE lh.17Networks_LH_ContA_IPS_6
schafSNPX-area-00010-cut0025-config4.hsq 0.035868 0.01815 0.022789 area 0.0436570881226054 area TRUE lh.17Networks_LH_ContA_IPS_7
schafSNPX-area-00011-cut0025-config4.hsq 0.047523 0.018476 0.0049642 area 0.0127943298969072 area TRUE lh.17Networks_LH_ContA_IPS_8
schafSNPX-area-00012-cut0025-config4.hsq 0.035241 0.018345 0.027875 area 0.0516203703703704 area FALSE lh.17Networks_LH_ContA_IPS_9
schafSNPX-area-00013-cut0025-config4.hsq 1e-06 0.017933 0.5 area 0.5 area FALSE lh.17Networks_LH_ContA_PFCd_1
schafSNPX-area-00014-cut0025-config4.hsq 0.007202 0.017474 0.33868 area 0.392900232018561 area FALSE lh.17Networks_LH_ContA_PFCd_2
schafSNPX-area-00015-cut0025-config4.hsq 0.036843 0.017837 0.015894 area 0.0316613545816733 area TRUE lh.17Networks_LH_ContA_PFCl_1
schafSNPX-area-00016-cut0025-config4.hsq 0.008045 0.017884 0.32903 area 0.384277389277389 area FALSE lh.17Networks_LH_ContA_PFCl_2
schafSNPX-area-00017-cut0025-config4.hsq 1e-06 0.017877 0.5 area 0.5 area FALSE lh.17Networks_LH_ContA_PFCl_3
schafSNPX-area-00018-cut0025-config4.hsq 0.060545 0.018316 0.00028971 area 0.00121726890756303 area TRUE lh.17Networks_LH_ContA_PFCl_4
schafSNPX-area-00019-cut0025-config4.hsq 0.028847 0.017935 0.050434 area 0.0837774086378738 area FALSE lh.17Networks_LH_ContA_PFCl_5
schafSNPX-area-00020-cut0025-config4.hsq 0.00997 0.017602 0.28414 area 0.341514423076923 area FALSE lh.17Networks_LH_ContA_PFCl_6
