label h2 SE sig meas FDR type bin name
schafSNPX-thickness-00001-cut0025-config4.hsq 0.01748 0.017293 0.14645 thickness 0.302582644628099 thickness FALSE lh.17Networks_LH_ContA_Cingm_1
schafSNPX-thickness-00002-cut0025-config4.hsq 0.008296 0.017218 0.31059 thickness 0.470357142857143 thickness FALSE lh.17Networks_LH_ContA_Cingm_2
schafSNPX-thickness-00003-cut0025-config4.hsq 0.002155 0.017468 0.45101 thickness 0.5 thickness FALSE lh.17Networks_LH_ContA_IPS_10
schafSNPX-thickness-00004-cut0025-config4.hsq 0.023028 0.017594 0.087328 thickness 0.242577777777778 thickness FALSE lh.17Networks_LH_ContA_IPS_1
schafSNPX-thickness-00005-cut0025-config4.hsq 0.00072 0.018055 0.48476 thickness 0.5 thickness FALSE lh.17Networks_LH_ContA_IPS_2
schafSNPX-thickness-00006-cut0025-config4.hsq 0.014745 0.017875 0.20584 thickness 0.378382352941176 thickness FALSE lh.17Networks_LH_ContA_IPS_3
schafSNPX-thickness-00007-cut0025-config4.hsq 0.021556 0.017663 0.10584 thickness 0.26115763546798 thickness FALSE lh.17Networks_LH_ContA_IPS_4
schafSNPX-thickness-00008-cut0025-config4.hsq 0.017498 0.017475 0.15158 thickness 0.30934693877551 thickness FALSE lh.17Networks_LH_ContA_IPS_5
schafSNPX-thickness-00009-cut0025-config4.hsq 0.02105 0.01744 0.10481 thickness 0.26115763546798 thickness FALSE lh.17Networks_LH_ContA_IPS_6
schafSNPX-thickness-00010-cut0025-config4.hsq 0.007329 0.017156 0.33031 thickness 0.48575 thickness FALSE lh.17Networks_LH_ContA_IPS_7
schafSNPX-thickness-00011-cut0025-config4.hsq 1e-06 0.017259 0.5 thickness 0.5 thickness FALSE lh.17Networks_LH_ContA_IPS_8
schafSNPX-thickness-00012-cut0025-config4.hsq 0.027576 0.018181 0.064962 thickness 0.210915584415584 thickness FALSE lh.17Networks_LH_ContA_IPS_9
schafSNPX-thickness-00013-cut0025-config4.hsq 0.031127 0.017706 0.033008 thickness 0.148684684684685 thickness FALSE lh.17Networks_LH_ContA_PFCd_1
schafSNPX-thickness-00014-cut0025-config4.hsq 0.007934 0.017451 0.32283 thickness 0.478976261127596 thickness FALSE lh.17Networks_LH_ContA_PFCd_2
schafSNPX-thickness-00015-cut0025-config4.hsq 1e-06 0.017456 0.5 thickness 0.5 thickness FALSE lh.17Networks_LH_ContA_PFCl_1
schafSNPX-thickness-00016-cut0025-config4.hsq 0.012197 0.017391 0.23651 thickness 0.398164983164983 thickness FALSE lh.17Networks_LH_ContA_PFCl_2
schafSNPX-thickness-00017-cut0025-config4.hsq 0.003309 0.017809 0.42782 thickness 0.5 thickness FALSE lh.17Networks_LH_ContA_PFCl_3
schafSNPX-thickness-00018-cut0025-config4.hsq 0.004402 0.017247 0.39773 thickness 0.5 thickness FALSE lh.17Networks_LH_ContA_PFCl_4
schafSNPX-thickness-00019-cut0025-config4.hsq 0.005966 0.017687 0.369 thickness 0.5 thickness FALSE lh.17Networks_LH_ContA_PFCl_5
