roi a2 a2cilwr a2ciupr c2 e2 pA pC LL_ACE LL_CE LL_AE
AI.lh.17Networks_LH_ContA_Cingm_1.mgh.label_matrix001.csv 0.107 2.06136948254406e-34 0.22142558052904 0 0.893 0.296 1 2937.2 2938.3 2937.2
AI.lh.17Networks_LH_ContA_Cingm_2.mgh.label_matrix002.csv 0.122 2.60043848290061e-29 0.236449227302763 0 0.878 0.198 1 2936.1 2937.7 2936.1
AI.lh.17Networks_LH_ContA_IPS_1.mgh.label_matrix003.csv 0.069 2.22482319875258e-31 0.179766263581542 0 0.931 0.692 1 2939.2 2939.4 2939.2
AI.lh.17Networks_LH_ContA_IPS_10.mgh.label_matrix004.csv 0.064 8.53593979452608e-38 0.171322997000145 0 0.936 0.552 1 2939.3 2939.7 2939.3
AI.lh.17Networks_LH_ContA_IPS_2.mgh.label_matrix005.csv 0 7.46941996556129e-29 0.107855593441597 0 1 1 1 2940.9 2940.9 2940.9
AI.lh.17Networks_LH_ContA_IPS_3.mgh.label_matrix006.csv 0.01 0 0.119808074821031 0 0.99 0.856 1 2940.8 2940.9 2940.8
AI.lh.17Networks_LH_ContA_IPS_4.mgh.label_matrix007.csv 0 1.70867596728193e-25 0.106581953603434 0 1 1 1 2940.9 2940.9 2940.9
AI.lh.17Networks_LH_ContA_IPS_5.mgh.label_matrix008.csv 0.071 1.26223403089453e-31 0.197308494103102 0.014 0.915 0.688 0.9 2937.7 2937.8 2937.7
AI.lh.17Networks_LH_ContA_IPS_6.mgh.label_matrix009.csv 0 5.94846777155423e-38 0.061821602426621 0 1 1 1 2940.9 2940.9 2940.9
AI.lh.17Networks_LH_ContA_IPS_7.mgh.label_matrix010.csv 0 0 0.155316303894317 0.044 0.956 1 0.451 2939.1 2939.1 2939.7
AI.lh.17Networks_LH_ContA_IPS_8.mgh.label_matrix011.csv 0 2.03648417585034e-33 0.139556980474697 0.036 0.964 1 0.421 2939.6 2939.6 2940.3
AI.lh.17Networks_LH_ContA_IPS_9.mgh.label_matrix012.csv 0.099 2.16876378006747e-28 0.26311565997248 0.036 0.865 0.594 0.754 2932.7 2933 2932.8
AI.lh.17Networks_LH_ContA_PFCd_1.mgh.label_matrix013.csv 0 0 0.101751804610816 0.003 0.997 1 0.91 2940.9 2940.9 2940.9
AI.lh.17Networks_LH_ContA_PFCd_2.mgh.label_matrix014.csv 0 5.84505154196301e-40 0.0922107386415647 0 1 1 1 2940.9 2940.9 2940.9
AI.lh.17Networks_LH_ContA_PFCl_1.mgh.label_matrix015.csv 0 1.04192667691982e-39 0.0743928679838899 0 1 1 1 2940.9 2940.9 2940.9
AI.lh.17Networks_LH_ContA_PFCl_2.mgh.label_matrix016.csv 0 1.88123438168005e-34 0.093860922061056 0 1 1 1 2940.9 2940.9 2940.9
AI.lh.17Networks_LH_ContA_PFCl_3.mgh.label_matrix017.csv 0.105 1.25772898790089e-29 0.240322044358738 0.017 0.878 0.543 0.876 2934.9 2935.3 2934.9
AI.lh.17Networks_LH_ContA_PFCl_4.mgh.label_matrix018.csv 0 0 0.0473721545135646 0 1 1 1 2940.9 2940.9 2940.9
AI.lh.17Networks_LH_ContA_PFCl_5.mgh.label_matrix019.csv 0 1.08567095944646e-31 0.0841763464488378 0 1 1 1 2940.9 2940.9 2940.9
AI.lh.17Networks_LH_ContA_PFCl_6.mgh.label_matrix020.csv 0 3.09582891930054e-31 0.0929583444638025 0.006 0.994 1 0.836 2940.8 2940.8 2940.9
AI.lh.17Networks_LH_ContA_PFCl_7.mgh.label_matrix021.csv 0 0 0.158728431836084 0.042 0.958 1 0.518 2939.2 2939.2 2939.6
AI.lh.17Networks_LH_ContA_PFCl_8.mgh.label_matrix022.csv 0 2.49642224316987e-27 0.093139232285237 0 1 1 1 2940.9 2940.9 2940.9
AI.lh.17Networks_LH_ContA_PFCl_9.mgh.label_matrix023.csv 0.068 2.28205411005301e-31 0.177498363926449 0 0.932 0.437 1 2939.2 2939.8 2939.2
AI.lh.17Networks_LH_ContA_PFClv_1.mgh.label_matrix024.csv 0 0 0.213225120512528 0.105 0.895 1 0.103 2929.5 2929.5 2932.2
AI.lh.17Networks_LH_ContA_PFClv_2.mgh.label_matrix025.csv 0 4.63214025777808e-31 0.166016382549872 0.055 0.945 1 0.286 2937.6 2937.6 2938.8
AI.lh.17Networks_LH_ContA_PFClv_3.mgh.label_matrix026.csv 0 5.53824510364557e-38 0.166542374157021 0.052 0.948 1 0.332 2938.1 2938.1 2939.1
AI.lh.17Networks_LH_ContA_PFClv_4.mgh.label_matrix027.csv 0 3.91098276379674e-35 0.0941704792856596 0 1 1 1 2940.9 2940.9 2940.9
AI.lh.17Networks_LH_ContA_PFClv_5.mgh.label_matrix028.csv 0.021 4.45074599791633e-32 0.135070190607912 0 0.979 0.805 1 2940.7 2940.8 2940.7
AI.lh.17Networks_LH_ContA_Temp_1.mgh.label_matrix029.csv 0 1.36035369060155e-25 0.0831840508211847 0 1 1 1 2940.9 2940.9 2940.9
AI.lh.17Networks_LH_ContA_Temp_2.mgh.label_matrix030.csv 0.014 3.27316533765879e-26 0.122500788058097 0 0.986 0.785 1 2940.8 2940.9 2940.8
AI.lh.17Networks_LH_ContA_Temp_3.mgh.label_matrix031.csv 0.042 0 0.153655129721708 0 0.958 0.449 1 2940.3 2940.9 2940.3
AI.lh.17Networks_LH_ContB_IPL_1.mgh.label_matrix032.csv 0.011 4.42205511935852e-43 0.119297351918955 0 0.989 0.961 0.997 2940.8 2940.8 2940.8
AI.lh.17Networks_LH_ContB_IPL_2.mgh.label_matrix033.csv 0.063 0 0.177759305043676 0 0.937 0.405 1 2939.6 2940.3 2939.6
AI.lh.17Networks_LH_ContB_IPL_3.mgh.label_matrix034.csv 0.005 0 0.113742804807946 0 0.995 0.925 1 2940.9 2940.9 2940.9
AI.lh.17Networks_LH_ContB_IPL_4.mgh.label_matrix035.csv 0 0 0.198950223330926 0.067 0.933 1 0.495 2936.6 2936.6 2937.1
AI.lh.17Networks_LH_ContB_IPL_5.mgh.label_matrix036.csv 0.033 1.34316693701455e-28 0.151017137862503 0 0.967 0.56 1 2940.5 2940.9 2940.5
AI.lh.17Networks_LH_ContB_IPL_6.mgh.label_matrix037.csv 0.018 2.20416931884072e-30 0.129438124364235 0 0.982 0.735 1 2940.8 2940.9 2940.8
AI.lh.17Networks_LH_ContB_IPL_7.mgh.label_matrix038.csv 0.09 9.72550178657765e-33 0.198218074758697 0 0.91 0.49 1 2938 2938.4 2938
AI.lh.17Networks_LH_ContB_IPL_8.mgh.label_matrix039.csv 0.159 0.0456926966741774 0.275080283355635 0 0.841 0.145 1 2933.1 2935.2 2933.1
AI.lh.17Networks_LH_ContB_PFCd_1.mgh.label_matrix040.csv 0.005 2.11437540500684e-37 0.112254858499597 0 0.995 0.92 1 2940.9 2940.9 2940.9
AI.lh.17Networks_LH_ContB_PFCd_2.mgh.label_matrix041.csv 0 0 0.0787631786964693 0 1 1 1 2940.9 2940.9 2940.9
AI.lh.17Networks_LH_ContB_PFCd_3.mgh.label_matrix042.csv 0.003 5.52019392862746e-32 0.112177082136877 0 0.997 0.962 1 2940.9 2940.9 2940.9
AI.lh.17Networks_LH_ContB_PFCl_1.mgh.label_matrix043.csv 0 0 0.07027452779653 0 1 1 1 2940.9 2940.9 2940.9
AI.lh.17Networks_LH_ContB_PFCl_2.mgh.label_matrix044.csv 0 1.07631549499152e-30 0.0565883378548999 0 1 1 1 2940.9 2940.9 2940.9
AI.lh.17Networks_LH_ContB_PFCl_3.mgh.label_matrix045.csv 0 0 0.0739759397776229 0 1 1 1 2940.9 2940.9 2940.9
AI.lh.17Networks_LH_ContB_PFClv_1.mgh.label_matrix046.csv 0 0 0.0839910839041191 0 1 1 1 2940.9 2940.9 2940.9
AI.lh.17Networks_LH_ContB_PFClv_2.mgh.label_matrix047.csv 0 0 0.11617663774714 0.019 0.981 1 0.594 2940.5 2940.5 2940.8
AI.lh.17Networks_LH_ContB_PFClv_3.mgh.label_matrix048.csv 0 0 0.0808996332921672 0 1 1 1 2940.9 2940.9 2940.9
AI.lh.17Networks_LH_ContB_PFClv_4.mgh.label_matrix049.csv 0.012 2.86228514413822e-26 0.195468118437445 0.049 0.939 0.947 0.641 2937.8 2937.8 2938
AI.lh.17Networks_LH_ContB_PFClv_5.mgh.label_matrix050.csv 0 1.60130021450206e-34 0.100882941271221 0 1 1 1 2940.9 2940.9 2940.9
AI.lh.17Networks_LH_ContB_PFCmp_1.mgh.label_matrix051.csv 0.077 1.59808480483682e-32 0.197494542205122 0 0.923 0.273 1 2939.1 2940.3 2939.1
AI.lh.17Networks_LH_ContB_PFCmp_2.mgh.label_matrix052.csv 0.117 0.00377386457617907 0.234255768006898 0 0.883 0.261 1 2936.7 2938 2936.7
AI.lh.17Networks_LH_ContB_Temp_1.mgh.label_matrix053.csv 0.05 0 0.159649007564134 0 0.95 0.534 1 2940 2940.4 2940
AI.lh.17Networks_LH_ContB_Temp_2.mgh.label_matrix054.csv 0.133 3.50330806229871e-43 0.243928417134722 0 0.867 0.105 1 2934.8 2937.4 2934.8
AI.lh.17Networks_LH_ContB_Temp_3.mgh.label_matrix055.csv 0.069 3.11796223532032e-31 0.182102886277208 0 0.931 0.294 1 2939.3 2940.4 2939.3
AI.lh.17Networks_LH_ContB_Temp_4.mgh.label_matrix056.csv 0.103 6.33920219329338e-26 0.218685828975909 0 0.897 0.181 1 2937.6 2939.3 2937.6
AI.lh.17Networks_LH_ContC_Cingp_1.mgh.label_matrix057.csv 0.103 1.7384561253717e-37 0.213483532319155 0 0.897 0.343 1 2937.2 2938.1 2937.2
AI.lh.17Networks_LH_ContC_Cingp_2.mgh.label_matrix058.csv 0.06 6.72906483935878e-31 0.262845938551656 0.065 0.875 0.731 0.542 2931.1 2931.3 2931.5
AI.lh.17Networks_LH_ContC_Cingp_3.mgh.label_matrix059.csv 0.103 6.9658100101196e-37 0.21386465780811 0 0.897 0.247 1 2937.3 2938.6 2937.3
AI.lh.17Networks_LH_ContC_Cingp_4.mgh.label_matrix060.csv 0.12 0.0117726636318175 0.233817381120999 0 0.88 0.138 1 2936.1 2938.4 2936.1
AI.lh.17Networks_LH_ContC_Cingp_5.mgh.label_matrix061.csv 0.073 7.81126537437916e-31 0.233299060669562 0.037 0.89 0.663 0.719 2934.3 2934.5 2934.4
AI.lh.17Networks_LH_ContC_Cingp_6.mgh.label_matrix062.csv 0.207 1.48848130277039e-26 0.314002400713212 0.001 0.792 0.217 0.992 2924.6 2926.2 2924.6
AI.lh.17Networks_LH_ContC_pCun_1.mgh.label_matrix063.csv 0.092 1.45581409944197e-36 0.209278883597195 0 0.908 0.299 1 2938.3 2939.3 2938.3
AI.lh.17Networks_LH_ContC_pCun_10.mgh.label_matrix064.csv 0.04 0 0.17408018691943 0.015 0.945 0.816 0.883 2939.4 2939.5 2939.5
AI.lh.17Networks_LH_ContC_pCun_11.mgh.label_matrix065.csv 0.044 0 0.153771298421319 0 0.956 0.688 1 2940.2 2940.4 2940.2
AI.lh.17Networks_LH_ContC_pCun_12.mgh.label_matrix066.csv 0.053 0 0.164429272649458 0 0.947 0.586 1 2939.9 2940.2 2939.9
AI.lh.17Networks_LH_ContC_pCun_13.mgh.label_matrix067.csv 0.01 0 0.118416779757185 0 0.99 0.848 1 2940.8 2940.9 2940.8
AI.lh.17Networks_LH_ContC_pCun_2.mgh.label_matrix068.csv 0.118 5.04797654617158e-37 0.232107910048786 0 0.882 0.317 1 2936.3 2937.3 2936.3
AI.lh.17Networks_LH_ContC_pCun_3.mgh.label_matrix069.csv 0 2.77625434669508e-26 0.187494276533111 0.052 0.948 1 0.602 2938.2 2938.2 2938.5
AI.lh.17Networks_LH_ContC_pCun_4.mgh.label_matrix070.csv 0.063 9.23349537753159e-31 0.174696758387032 0 0.937 0.316 1 2939.5 2940.5 2939.5
AI.lh.17Networks_LH_ContC_pCun_5.mgh.label_matrix071.csv 0 3.07783409653677e-28 0.10442823360547 0 1 1 1 2940.9 2940.9 2940.9
AI.lh.17Networks_LH_ContC_pCun_6.mgh.label_matrix072.csv 0.08 1.6497242095988e-38 0.19539109806155 0.004 0.916 0.658 0.97 2938.2 2938.4 2938.2
AI.lh.17Networks_LH_ContC_pCun_7.mgh.label_matrix073.csv 0.045 6.68454296220783e-26 0.156097471047033 0 0.955 0.553 1 2940.2 2940.5 2940.2
AI.lh.17Networks_LH_ContC_pCun_8.mgh.label_matrix074.csv 0.155 0.000817461142864258 0.265132182451611 0 0.845 0.141 1 2932.4 2934.6 2932.4
AI.lh.17Networks_LH_ContC_pCun_9.mgh.label_matrix075.csv 0 2.72158758373229e-33 0.0620856045212602 0 1 1 1 2940.9 2940.9 2940.9
AI.lh.17Networks_LH_DefaultA_IPL_1.mgh.label_matrix076.csv 0 1.11188062443697e-39 0.120792878998453 0.013 0.987 1 0.757 2940.7 2940.7 2940.8
AI.lh.17Networks_LH_DefaultA_IPL_2.mgh.label_matrix077.csv 0.012 4.92761046246927e-34 0.121611454995363 0 0.988 0.821 1 2940.8 2940.9 2940.8
AI.lh.17Networks_LH_DefaultA_IPL_3.mgh.label_matrix078.csv 0 1.23008343527019e-29 0.16486451175497 0.049 0.951 1 0.428 2938.8 2938.8 2939.4
AI.lh.17Networks_LH_DefaultA_IPL_4.mgh.label_matrix079.csv 0.063 0 0.174600172895134 0 0.937 0.447 1 2939.6 2940.2 2939.6
AI.lh.17Networks_LH_DefaultA_IPL_5.mgh.label_matrix080.csv 0.001 0 0.112204843054313 0 0.999 0.978 1 2940.9 2940.9 2940.9
AI.lh.17Networks_LH_DefaultA_IPL_6.mgh.label_matrix081.csv 0 2.73502876712324e-39 0.0479311206567264 0 1 1 1 2940.9 2940.9 2940.9
AI.lh.17Networks_LH_DefaultA_IPL_7.mgh.label_matrix082.csv 0.098 5.06420594636342e-31 0.213321195490544 0 0.902 0.341 1 2937.9 2938.8 2937.9
AI.lh.17Networks_LH_DefaultA_pCunPCC_1.mgh.label_matrix099.csv 0.073 3.11173109798123e-32 0.184044401507382 0 0.927 0.646 1 2939.1 2939.3 2939.1
AI.lh.17Networks_LH_DefaultA_pCunPCC_10.mgh.label_matrix100.csv 0 0 0.14165311008901 0.024 0.976 1 0.808 2940.3 2940.3 2940.3
AI.lh.17Networks_LH_DefaultA_pCunPCC_11.mgh.label_matrix101.csv 0 3.2647061768429e-40 0.0647227860197939 0 1 1 1 2940.9 2940.9 2940.9
AI.lh.17Networks_LH_DefaultA_pCunPCC_12.mgh.label_matrix102.csv 0.016 0 0.125163649844087 0 0.984 0.76 1 2940.8 2940.9 2940.8
AI.lh.17Networks_LH_DefaultA_pCunPCC_13.mgh.label_matrix103.csv 0.065 8.95619646056442e-31 0.169383336394977 0 0.935 0.599 1 2939.3 2939.5 2939.3
