roi a2 a2cilwr a2ciupr c2 e2 pA pC LL_ACE LL_CE LL_AE
AI.lh.17Networks_LH_ContA_Cingm_1.mgh.label_matrix001.csv 0.127 8.03524198900092e-29 0.270224554566079 0.023 0.85 0.451 0.823 2931.6 2932.2 2931.7
AI.lh.17Networks_LH_ContA_Cingm_2.mgh.label_matrix002.csv 0.086 5.07028045194306e-32 0.294878813230298 0.07 0.844 0.628 0.516 2926.6 2926.8 2927
AI.lh.17Networks_LH_ContA_IPS_1.mgh.label_matrix003.csv 0 0 0.0976941398630484 0 1 1 1 2940.9 2940.9 2940.9
AI.lh.17Networks_LH_ContA_IPS_10.mgh.label_matrix004.csv 0 4.63329096356474e-33 0.132320824885818 0.017 0.983 1 0.851 2940.6 2940.6 2940.6
AI.lh.17Networks_LH_ContA_IPS_2.mgh.label_matrix005.csv 0.063 2.82679781665067e-30 0.178816517172809 0.005 0.932 0.711 0.964 2939.1 2939.3 2939.1
AI.lh.17Networks_LH_ContA_IPS_3.mgh.label_matrix006.csv 0.027 5.90582284832257e-39 0.131307601436612 0 0.973 0.757 1 2940.6 2940.7 2940.6
AI.lh.17Networks_LH_ContA_IPS_4.mgh.label_matrix007.csv 0.028 0 0.137233997411923 0 0.972 0.663 1 2940.6 2940.8 2940.6
AI.lh.17Networks_LH_ContA_IPS_5.mgh.label_matrix008.csv 0 3.86770214370803e-31 0.0667709523404344 0 1 1 1 2940.9 2940.9 2940.9
AI.lh.17Networks_LH_ContA_IPS_6.mgh.label_matrix009.csv 0.039 0 0.152625311175712 0 0.961 0.533 1 2940.4 2940.8 2940.4
AI.lh.17Networks_LH_ContA_IPS_7.mgh.label_matrix010.csv 0 1.85865086800583e-17 0.105530104683186 0 1 0.997 1 2940.9 2940.9 2940.9
AI.lh.17Networks_LH_ContA_IPS_8.mgh.label_matrix011.csv 0 0 0.106864323014377 0.005 0.995 1 0.881 2940.9 2940.9 2940.9
AI.lh.17Networks_LH_ContA_IPS_9.mgh.label_matrix012.csv 0 5.74099746457166e-35 0.0871396878188864 0 1 1 1 2940.9 2940.9 2940.9
AI.lh.17Networks_LH_ContA_PFCd_1.mgh.label_matrix013.csv 0.048 0 0.158755387100334 0 0.952 0.674 1 2940.1 2940.3 2940.1
AI.lh.17Networks_LH_ContA_PFCd_2.mgh.label_matrix014.csv 0 6.4617556100876e-33 0.117075390403341 0.014 0.986 1 0.722 2940.7 2940.7 2940.8
AI.lh.17Networks_LH_ContA_PFCl_1.mgh.label_matrix015.csv 0 1.21269679256419e-36 0.0789103741377364 0 1 1 1 2940.9 2940.9 2940.9
AI.lh.17Networks_LH_ContA_PFCl_2.mgh.label_matrix016.csv 0.007 2.57743910712559e-37 0.117985520889732 0 0.993 0.897 1 2940.9 2940.9 2940.9
AI.lh.17Networks_LH_ContA_PFCl_3.mgh.label_matrix017.csv 0 4.69286007101897e-38 0.071273403179416 0 1 1 1 2940.9 2940.9 2940.9
AI.lh.17Networks_LH_ContA_PFCl_4.mgh.label_matrix018.csv 0.04 1.08445275609837e-27 0.143180634649906 0 0.96 0.652 1 2940.3 2940.5 2940.3
AI.lh.17Networks_LH_ContA_PFCl_5.mgh.label_matrix019.csv 0 0 0.0987848203368739 0 1 1 1 2940.9 2940.9 2940.9
AI.lh.17Networks_LH_ContA_PFCl_6.mgh.label_matrix020.csv 0.037 5.00932992982665e-32 0.142798579312222 0 0.963 0.476 1 2940.4 2940.9 2940.4
AI.lh.17Networks_LH_ContA_PFCl_7.mgh.label_matrix021.csv 0 1.25036054378908e-33 0.126997182648329 0.013 0.987 1 0.854 2940.7 2940.7 2940.8
AI.lh.17Networks_LH_ContA_PFCl_8.mgh.label_matrix022.csv 0.069 8.25275052662297e-32 0.173901911294574 0 0.931 0.444 1 2939.1 2939.7 2939.1
AI.lh.17Networks_LH_ContA_PFCl_9.mgh.label_matrix023.csv 0.004 1.92307612246513e-37 0.108351570056923 0 0.996 0.955 1 2940.9 2940.9 2940.9
