roi a2 a2cilwr a2ciupr c2 e2 pA pC LL_ACE LL_CE LL_AE LL_E a2revise a2revisecilwr a2reviseciupr e2revise pArevise rMZ rDZsibPairs
AI.lh.17Networks_LH_ContA_Cingm_1.mgh.label_matrix001.csv 0.107 2.06136948254406e-34 0.22142558052904 0 0.893 0.296346618893518 0.999989791159919 2937.2 2938.3 2937.2 2940.9 0.107 0 0.221 0.893 0.0554518954871161 0.144647416022044 0.0660304273485532
AI.lh.17Networks_LH_ContA_Cingm_2.mgh.label_matrix002.csv 0.122 1.86436658972787e-31 0.236449227302763 0 0.878 0.198391951444029 1 2936.1 2937.7 2936.1 2940.9 0.122 0.01344 0.236 0.878 0.028119842026831 0.179910074585722 0.0590811528661195
AI.lh.17Networks_LH_ContA_IPS_1.mgh.label_matrix003.csv 0.069 2.22482319875258e-31 0.179766263581542 0 0.931 0.692150898102312 0.999750852941746 2939.2 2939.4 2939.2 2940.9 0.069 0 0.18 0.931 0.200596893736254 0.0641483012718421 0.0441650333001762
AI.lh.17Networks_LH_ContA_IPS_10.mgh.label_matrix004.csv 0.064 0 0.171322997000145 0 0.936 0.55222098920338 0.999998298526653 2939.3 2939.7 2939.3 2940.9 0.064 0 0.171 0.936 0.214493498063512 0.105418995812881 -0.0263497453777268
AI.lh.17Networks_LH_ContA_IPS_2.mgh.label_matrix005.csv 0 5.40194064160933e-28 0.107855593441597 0 1 1 0.999991911288049 2940.9 2940.9 2940.9 2940.9 0 0 0.108 1 1 0.0882533937876463 -0.0383883767862151
AI.lh.17Networks_LH_ContA_IPS_3.mgh.label_matrix006.csv 0.01 1.4231875560245e-44 0.119808074821031 0 0.99 0.855602720269865 0.999966506463683 2940.8 2940.9 2940.8 2940.9 0.01 0 0.12 0.99 0.85560272407546 0.116381900873011 -0.00163371046384879
AI.lh.17Networks_LH_ContA_IPS_4.mgh.label_matrix007.csv 0 0 0.106581953603434 0 1 1 1 2940.9 2940.9 2940.9 2940.9 0 0 0.106 1 1 0.118251766557079 -0.0125673481762855
AI.lh.17Networks_LH_ContA_IPS_5.mgh.label_matrix008.csv 0.071 1.26223403089453e-31 0.197308494103102 0.014 0.915 0.688194564475026 0.900469563169368 2937.7 2937.8 2937.7 2940.9 0.092 0 0.197 0.908 0.0746768485193077 0.102438757408393 0.0538963310258936
AI.lh.17Networks_LH_ContA_IPS_6.mgh.label_matrix009.csv 0 0 0.061821602426621 0 1 1 0.999996390629975 2940.9 2940.9 2940.9 2940.9 0 0 0.062 1 1 -0.018074751234618 -0.038978687579501
AI.lh.17Networks_LH_ContA_IPS_7.mgh.label_matrix010.csv 0 1.54257053713395e-26 0.155316303894317 0.044 0.956 1 0.450871831020059 2939.1 2939.1 2939.7 2940.9 0.057 0 0.164 0.943 0.278079888456096 0.00931928081926874 -0.0285158591392943
AI.lh.17Networks_LH_ContA_IPS_8.mgh.label_matrix011.csv 0 2.6929378021768e-31 0.139556980474697 0.036 0.964 0.999998923893769 0.42120440732836 2939.6 2939.6 2940.3 2940.9 0.042 0 0.149 0.958 0.42879444301579 -0.0264147587588195 0.0572319782485528
AI.lh.17Networks_LH_ContA_IPS_9.mgh.label_matrix012.csv 0.099 2.16876378006747e-28 0.26311565997248 0.036 0.865 0.593614793269774 0.753621676912818 2932.7 2933 2932.8 2940.9 0.154 0.04642 0.265 0.846 0.00453556803503835 0.156206461323678 0.0891729551687597
AI.lh.17Networks_LH_ContA_PFCd_1.mgh.label_matrix013.csv 0 2.05592476812607e-38 0.101965944620867 0.003 0.997 0.999997593753317 0.909935383894682 2940.9 2940.9 2940.9 2940.9 0 0 0.102 1 0.999999461946885 -0.0364545393608152 -0.0364730478456949
AI.lh.17Networks_LH_ContA_PFCd_2.mgh.label_matrix014.csv 0 0 0.0922107386415647 0 1 0.99998688650748 0.99997578163218 2940.9 2940.9 2940.9 2940.9 0 0 0.092 1 1 0.12694627550354 -0.0733294706938786
AI.lh.17Networks_LH_ContA_PFCl_1.mgh.label_matrix015.csv 0 2.29017014546574e-29 0.0743928679838899 0 1 1 0.999998923893769 2940.9 2940.9 2940.9 2940.9 0 0 0.075 1 1 -0.0112179149520822 -0.0537335841340788
AI.lh.17Networks_LH_ContA_PFCl_2.mgh.label_matrix016.csv 0 1.21761770157175e-29 0.093860922061056 0 1 1 1 2940.9 2940.9 2940.9 2940.9 0 0 0.094 1 1 0.00350742139459202 -0.0923247358538551
AI.lh.17Networks_LH_ContA_PFCl_3.mgh.label_matrix017.csv 0.105 1.25772898790089e-29 0.240322044358738 0.017 0.878 0.542858869591884 0.876110222769247 2934.9 2935.3 2934.9 2940.9 0.131 0.02499 0.24 0.869 0.0146902298080345 0.128411889881249 0.0648568733037609
AI.lh.17Networks_LH_ContA_PFCl_4.mgh.label_matrix018.csv 0 1.22853089800322e-42 0.0473721545135646 0 1 1 1 2940.9 2940.9 2940.9 2940.9 0 0 0.047 1 0.999999239077987 -0.0799118749363925 -0.0811935990121875
AI.lh.17Networks_LH_ContA_PFCl_5.mgh.label_matrix019.csv 0 3.05549167334234e-39 0.0841763464488378 0 1 1 0.999993454301341 2940.9 2940.9 2940.9 2940.9 0 0 0.084 1 1 -0.0634445713306971 0.0254146279719346
AI.lh.17Networks_LH_ContA_PFCl_6.mgh.label_matrix020.csv 0 1.19521180128699e-31 0.0929583444638025 0.006 0.994 0.999979105796458 0.836272996571806 2940.8 2940.8 2940.9 2940.9 0 0 0.094 1 1 -0.066628610910787 -0.0596609737805023
AI.lh.17Networks_LH_ContA_PFCl_7.mgh.label_matrix021.csv 0 0 0.158728431836084 0.042 0.958 1 0.51754182868857 2939.2 2939.2 2939.6 2940.9 0.059 0 0.164 0.941 0.253720354566925 0.0186521547759644 0.0495655379145245
AI.lh.17Networks_LH_ContA_PFCl_8.mgh.label_matrix022.csv 0 2.18328844937755e-26 0.093139232285237 0 1 0.999987030799136 0.999989105254774 2940.9 2940.9 2940.9 2940.9 0 0 0.093 1 1 -0.00691092209048094 0.00219259440969237
AI.lh.17Networks_LH_ContA_PFCl_9.mgh.label_matrix023.csv 0.068 2.28205411005301e-31 0.177498363926449 0 0.932 0.43743838463989 1 2939.2 2939.8 2939.2 2940.9 0.068 0 0.177 0.932 0.197764323708416 0.110612203380462 0.0454804649383156
AI.lh.17Networks_LH_ContA_PFClv_1.mgh.label_matrix024.csv 0 5.41696019871e-29 0.213225120512528 0.105 0.895 1 0.103053998600217 2929.5 2929.5 2932.2 2940.9 0.154 0.05001 0.261 0.846 0.00317144735635164 0.0164250997413607 0.0828781018630326
AI.lh.17Networks_LH_ContA_PFClv_2.mgh.label_matrix025.csv 0 4.44557347384058e-29 0.166016382549872 0.055 0.945 1 0.28627821924162 2937.6 2937.6 2938.8 2940.9 0.076 0 0.183 0.924 0.145015163259983 -0.0312377062742483 0.0348213930787369
AI.lh.17Networks_LH_ContA_PFClv_3.mgh.label_matrix026.csv 0 0 0.166542374157021 0.052 0.948 1 0.331744594896885 2938.1 2938.1 2939.1 2940.9 0.072 0 0.181 0.928 0.179990156595721 -0.0253671917941138 0.0307823300265499
AI.lh.17Networks_LH_ContA_PFClv_4.mgh.label_matrix027.csv 0 1.08251650540659e-26 0.0941704792856596 0 1 1 0.99998777778269 2940.9 2940.9 2940.9 2940.9 0 0 0.094 1 1 -0.00725772765229838 0.0102724665203556
AI.lh.17Networks_LH_ContA_PFClv_5.mgh.label_matrix028.csv 0.021 0 0.135070190607912 0 0.979 0.805499955683959 0.999989252397438 2940.7 2940.8 2940.7 2940.9 0.021 0 0.135 0.979 0.709286378275737 0.0382924889784595 0.0274163862448579
AI.lh.17Networks_LH_ContA_Temp_1.mgh.label_matrix029.csv 0 1.42281274791651e-32 0.0831840508211847 0 1 0.999982556786023 0.999987730501209 2940.9 2940.9 2940.9 2940.9 0 0 0.083 1 1 -0.00268776321047172 -0.0183482813185312
AI.lh.17Networks_LH_ContA_Temp_2.mgh.label_matrix030.csv 0.014 1.46962208211711e-27 0.122500788058097 0 0.986 0.784512320880901 1 2940.8 2940.9 2940.8 2940.9 0.014 0 0.123 0.986 0.784512320784395 0.0965972174598723 0.0685696653855291
AI.lh.17Networks_LH_ContA_Temp_3.mgh.label_matrix031.csv 0.042 0 0.153655129721708 0 0.958 0.448682454659518 1 2940.3 2940.9 2940.3 2940.9 0.042 0 0.154 0.958 0.442647574249918 0.168264607820804 0.00235856451925835
AI.lh.17Networks_LH_ContB_IPL_1.mgh.label_matrix032.csv 0.011 0 0.119297351918955 0 0.989 0.960990397742306 0.997262243763139 2940.8 2940.8 2940.8 2940.9 0.011 0 0.119 0.989 0.832373551554283 0.0107460274720512 -0.0330137670479967
AI.lh.17Networks_LH_ContB_IPL_2.mgh.label_matrix033.csv 0.063 0 0.177759305043676 0 0.937 0.404951554218686 0.999991093636181 2939.6 2940.3 2939.6 2940.9 0.063 0 0.178 0.937 0.253150341127797 0.123557608265776 -0.00687808916161906
AI.lh.17Networks_LH_ContB_IPL_3.mgh.label_matrix034.csv 0.005 9.95910125772783e-30 0.113742804807946 0 0.995 0.925156402178634 1 2940.9 2940.9 2940.9 2940.9 0.005 0 0.114 0.995 0.925156401851775 0.0726872480725812 -0.00993595854792475
AI.lh.17Networks_LH_ContB_IPL_4.mgh.label_matrix035.csv 0 0 0.198950223330926 0.067 0.933 1 0.494992462154858 2936.6 2936.6 2937.1 2940.9 0.101 0 0.205 0.899 0.0512401614968542 0.0775719352707093 0.103540164671718
AI.lh.17Networks_LH_ContB_IPL_5.mgh.label_matrix036.csv 0.033 6.18741601278521e-37 0.151017137862503 0 0.967 0.559884114370591 1 2940.5 2940.9 2940.5 2940.9 0.033 0 0.151 0.967 0.559619710992566 0.15500194514248 -0.0293412986951128
AI.lh.17Networks_LH_ContB_IPL_6.mgh.label_matrix037.csv 0.018 1.33773728568769e-33 0.129438124364235 0 0.982 0.734674586762517 0.99997530810999 2940.8 2940.9 2940.8 2940.9 0.018 0 0.129 0.982 0.734674588538548 0.0903634435468622 -0.00243782893750606
AI.lh.17Networks_LH_ContB_IPL_7.mgh.label_matrix038.csv 0.09 9.72550178657765e-33 0.198218074758697 0 0.91 0.490233197287774 1 2938 2938.4 2938 2940.9 0.09 0 0.198 0.91 0.0871529267553543 0.114359109252284 -0.0331685864998779
AI.lh.17Networks_LH_ContB_IPL_8.mgh.label_matrix039.csv 0.159 0.0456926966741774 0.275080283355635 0 0.841 0.144779564067409 1 2933.1 2935.2 2933.1 2940.9 0.159 0.04569 0.275 0.841 0.00522924892844119 0.209672562954442 0.0253074532810742
AI.lh.17Networks_LH_ContB_PFCd_1.mgh.label_matrix040.csv 0.005 2.03941087774824e-35 0.112254858499597 0 0.995 0.920188758665342 1 2940.9 2940.9 2940.9 2940.9 0.005 0 0.112 0.995 0.920188761223565 0.0463091649451001 -0.00803660404597392
AI.lh.17Networks_LH_ContB_PFCd_2.mgh.label_matrix041.csv 0 3.46605164731427e-29 0.0787631786964693 0 1 1 0.999997781550173 2940.9 2940.9 2940.9 2940.9 0 0 0.079 1 1 0.03101636977357 -0.0756403037971202
AI.lh.17Networks_LH_ContB_PFCd_3.mgh.label_matrix042.csv 0.003 1.30592768522497e-29 0.112177082136877 0 0.997 0.962311922418339 1 2940.9 2940.9 2940.9 2940.9 0.003 0 0.112 0.997 0.962311922326298 0.0317521043983953 -0.0704073399387953
AI.lh.17Networks_LH_ContB_PFCl_1.mgh.label_matrix043.csv 0 1.21638101632613e-31 0.07027452779653 0 1 1 0.999987825247791 2940.9 2940.9 2940.9 2940.9 0 0 0.07 1 1 -0.0453068542092096 -0.0154600184820634
AI.lh.17Networks_LH_ContB_PFCl_2.mgh.label_matrix044.csv 0 0 0.0565883378548999 0 1 1 1 2940.9 2940.9 2940.9 2940.9 0 0 0.056 1 1 0.0483001836191484 -0.0611666522935777
AI.lh.17Networks_LH_ContB_PFCl_3.mgh.label_matrix045.csv 0 7.64406223315248e-38 0.0739759397776229 0 1 0.999995010300677 0.999997847787538 2940.9 2940.9 2940.9 2940.9 0 0 0.074 1 1 -0.00498651429411227 -0.0132432065174807
AI.lh.17Networks_LH_ContB_PFClv_1.mgh.label_matrix046.csv 0 1.82712409913261e-26 0.0839910839041191 0 1 1 1 2940.9 2940.9 2940.9 2940.9 0 0 0.084 1 1 0.0775719967752412 -0.0852049280577755
AI.lh.17Networks_LH_ContB_PFClv_2.mgh.label_matrix047.csv 0 4.22994750162565e-26 0.11617663774714 0.019 0.981 0.999988739382526 0.594224686150162 2940.5 2940.5 2940.8 2940.9 0.014 0 0.12 0.986 0.791582493112507 -0.0443672334309759 0.0472035986291254
