roi a2 a2cilwr a2ciupr c2 e2 pA pC LL_ACE LL_CE LL_AE LL_E a2revise a2revisecilwr a2reviseciupr e2revise pArevise rMZ rDZsibPairs
AI.lh.17Networks_LH_ContA_Cingm_1.mgh.label_matrix001.csv 0.127 8.03524198900092e-29 0.270224554566079 0.023 0.85 0.451485965634208 0.823306149532017 2931.6 2932.2 2931.7 2940.9 0.162 0.05591 0.271 0.838 0.00244128302923583 0.147598541918608 0.0397878723255892
AI.lh.17Networks_LH_ContA_Cingm_2.mgh.label_matrix002.csv 0.086 5.07028045194306e-32 0.294878813230298 0.07 0.844 0.628483437918202 0.515994355139044 2926.6 2926.8 2927 2940.9 0.194 0.08932 0.3 0.806 0.000198977114114685 0.159586348697578 0.134426782553309
AI.lh.17Networks_LH_ContA_IPS_1.mgh.label_matrix003.csv 0 0 0.0976941398630484 0 1 1 0.999983822576099 2940.9 2940.9 2940.9 2940.9 0 0 0.098 1 1 -0.0290565044848136 0.00145190027473711
AI.lh.17Networks_LH_ContA_IPS_10.mgh.label_matrix004.csv 0 2.77963480255254e-29 0.132320824885818 0.017 0.983 0.999994130533462 0.850543754794604 2940.6 2940.6 2940.6 2940.9 0.027 0 0.132 0.973 0.593131836890985 0.0292917843863009 -0.0293309850146992
AI.lh.17Networks_LH_ContA_IPS_2.mgh.label_matrix005.csv 0.063 0 0.178816517172809 0.005 0.932 0.710547300382687 0.96393649739439 2939.1 2939.3 2939.1 2940.9 0.07 0 0.179 0.93 0.186672544940081 0.0691248784013679 -0.00666860819307117
AI.lh.17Networks_LH_ContA_IPS_3.mgh.label_matrix006.csv 0.027 0 0.131307601436612 0 0.973 0.757130543542532 0.999988790918804 2940.6 2940.7 2940.6 2940.9 0.027 0 0.131 0.973 0.588330749931989 0.0441636249102272 0.0108509255956144
AI.lh.17Networks_LH_ContA_IPS_4.mgh.label_matrix007.csv 0.028 0 0.137233997411923 0 0.972 0.663448710565536 1 2940.6 2940.8 2940.6 2940.9 0.028 0 0.137 0.972 0.599759670549079 0.076880336715039 0.0203074442032274
AI.lh.17Networks_LH_ContA_IPS_5.mgh.label_matrix008.csv 0 5.22164475376364e-33 0.0667709523404344 0 1 1 0.999995039395382 2940.9 2940.9 2940.9 2940.9 0 0 0.067 1 1 -0.109458567758198 -0.0106050318585048
AI.lh.17Networks_LH_ContA_IPS_6.mgh.label_matrix009.csv 0.039 8.04240670853446e-28 0.152625311175712 0 0.961 0.532872567222323 0.999993366435682 2940.4 2940.8 2940.4 2940.9 0.039 0 0.153 0.961 0.47720460529353 0.103940369748632 -0.0591344816660671
AI.lh.17Networks_LH_ContA_IPS_7.mgh.label_matrix010.csv 0 4.36372560876265e-34 0.105530104683186 0 1 0.997275366051206 1 2940.9 2940.9 2940.9 2940.9 0 0 0.106 1 0.997273523035977 0.0281975522796896 -0.0361224727325309
