PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11
WordPairs -0.265 0.33 -0.21 0.226 -0.76 0.215 -0.143 0.257 -0.023 0.12 0.021
IncorrectMatches 0.213 0.624 0.242 -0.65 0.052 0.151 -0.176 0.06 -0.12 0.09 0.048
ProspMem -0.208 0.397 -0.762 0.046 0.458 0 0.017 0.015 0.023 -0.075 -0.03
FluidIQ -0.321 0.284 0.299 0.087 -0.018 -0.316 -0.243 -0.129 0.413 -0.578 -0.197
SymbolDigit -0.337 -0.252 -0.051 -0.235 -0.031 0.097 -0.215 -0.017 -0.711 -0.382 -0.24
PairMatch 0.311 0.009 -0.047 0.256 0.088 -0.492 -0.672 0.238 -0.213 0.174 0.045
TMTA 0.323 0.307 0.013 0.249 -0.155 -0.271 0.425 -0.149 -0.409 -0.388 0.348
TMTB 0.382 0.121 -0.074 0.08 -0.116 -0.066 0.205 -0.025 -0.041 0.048 -0.874
NumericMem -0.264 0.272 0.463 0.499 0.392 0.262 0.098 0.205 -0.259 0.201 -0.103
LondonTower -0.313 -0.031 0.048 -0.279 -0.018 -0.56 0.398 0.57 -0.027 0.147 -0.039
Matrices -0.333 0.127 0.032 -0.033 -0.096 -0.347 0.01 -0.683 -0.164 0.497 -0.038
