labs roi roiname cognition.effect p.cog hand.effect p sex.effect p.1 icv.effect p.2
cluster.area.6p.0001.label 01 L_Postcentral-gyrus_Supramarginal 0.028 9.82e-07 -0.017 3.24e-01 0.198 2.38e-54 -0.012 2.72e-01
cluster.area.6p.0002.label 02 L_Anterior-temporal_Parahippocampal-gyrus -0.011 6.44e-02 -0.039 2.46e-02 0.188 2.11e-49 -0.054 6.11e-07
cluster.area.6p.0003.label 03 L_Anterior-cingulate_Subcallosal -0.013 2.29e-02 0.022 1.99e-01 -0.162 9.74e-37 0.08 3.90e-14
cluster.area.6p.0004.label 04 L_Anterior-insula 0.013 2.08e-02 -0.107 9.60e-10 0.011 4.08e-01 -0.001 9.07e-01
cluster.area.6p.0005.label 05 L_Retrosplenial-cortex 0.008 1.83e-01 -0.019 2.72e-01 0.122 3.12e-21 0.013 2.43e-01
cluster.area.6p.0006.label 06 L_Temporal-pole_Inferior-temporal-gyrus 0.012 4.58e-02 0.023 1.98e-01 0.013 3.00e-01 0.013 2.26e-01
cluster.area.6p.0007.label 07 L_Superior-frontal-gyrus 0.006 2.68e-01 -0.012 4.90e-01 0.074 8.08e-09 -0.028 7.92e-03
cluster.area.6n.0001.label 01 R_Parieto-occipital_sulcus 0.008 1.46e-01 0 9.92e-01 -0.002 8.48e-01 0.006 5.76e-01
cluster.area.6n.0002.label 02 R_Inferior-parietal_Lateral-occipital 0.011 5.68e-02 -0.03 8.57e-02 0.118 2.94e-20 -0.036 6.79e-04
cluster.area.6n.0003.label 03 R_Cingulate 0.002 7.75e-01 0.037 3.61e-02 0.042 9.65e-04 -0.033 2.64e-03
cluster.area.6n.0004.label 04 R_Middle-frontal-gyrus 0.009 1.03e-01 -0.026 1.38e-01 0.051 6.48e-05 0.007 4.90e-01
cluster.area.6n.0005.label 05 R_Superior-temporal-sulcus -0.009 1.35e-01 -0.017 3.21e-01 -0.03 1.64e-02 -0.002 8.57e-01
cluster.area.6n.0006.label 06 R_Superior-frontal-gyrus 0.006 3.26e-01 0.021 2.22e-01 -0.154 6.79e-33 -0.003 7.87e-01
cluster.area.6n.0007.label 07 R_Gyrus-rectus 0.015 8.94e-03 0.017 3.20e-01 -0.152 1.89e-32 0.013 2.15e-01
