labs roi roiname cognition.effect p.cog hand.effect p sex.effect p.1 icv.effect p.2
cluster.thickness.6p.0001.label 01 L_Cingulate 0.001 8.17e-01 0.027 1.20e-01 0.002 8.50e-01 0.046 4.36e-13
cluster.thickness.6p.0002.label 02 L_Superior-frontal-gyrus 0.009 1.40e-01 -0.022 2.20e-01 0.059 3.08e-06 0.002 7.08e-01
cluster.thickness.6p.0003.label 03 L_Postcentral 0.009 1.03e-01 -0.088 6.50e-07 0.043 8.00e-04 -0.038 1.14e-09
cluster.thickness.6p.0004.label 04 L_Precentral 0.014 1.51e-02 -0.027 1.28e-01 0.003 8.31e-01 0.023 2.98e-04
cluster.thickness.6p.0005.label 05  L_Supplementary-motor-cortex 0.013 2.65e-02 0.017 3.30e-01 -0.014 2.62e-01 0.015 2.16e-02
cluster.thickness.6p.0006.label 06 L_Collateral-sulcus 0.016 5.08e-03 0.037 3.54e-02 -0.012 3.50e-01 0.015 1.92e-02
cluster.thickness.6p.0007.label 07 L_Anterior-transverse-collateral-sulcus 0.006 2.98e-01 0.039 2.77e-02 0.019 1.35e-01 -0.036 1.58e-08
cluster.thickness.6p.0008.label 08  L_Caudal-middle-frontal 0.002 7.32e-01 -0.011 5.49e-01 0.029 2.34e-02 0.003 6.28e-01
cluster.thickness.6p.0009.label 09 L_Caudal-superior-frontal 0.004 4.67e-01 0.033 6.37e-02 -0.07 4.36e-08 0.014 2.84e-02
cluster.thickness.6p.0010.label 10 L_Rostral-superior-frontal 0.001 8.19e-01 0.056 1.45e-03 -0.042 9.29e-04 0.03 2.08e-06
cluster.thickness.6p.0011.label 11 L_Calcarine-sulcus  0.004 4.95e-01 0.014 4.39e-01 -0.013 3.19e-01 0.026 3.75e-05
cluster.thickness.6n.0001.label 01 R_Superior-temporal-sulcus 0.006 2.67e-01 -0.039 2.68e-02 0.076 1.68e-09 0.018 4.01e-03
cluster.thickness.6n.0002.label 02 R_Lateral-occipital -0.002 7.29e-01 -0.01 5.76e-01 -0.008 5.52e-01 0.031 9.07e-07
cluster.thickness.6n.0003.label 03 R_Lingual-gyrus -0.007 2.05e-01 0.029 9.93e-02 -0.037 3.22e-03 -0.026 3.93e-05
cluster.thickness.6n.0004.label 04 R_Posterior-insula_Sylvian -0.001 8.14e-01 -0.007 6.80e-01 0.052 4.12e-05 0.032 4.97e-07
cluster.thickness.6n.0005.label 05 R_Entorhinal -0.005 4.26e-01 -0.013 4.45e-01 -0.052 3.81e-05 0.022 5.25e-04
cluster.thickness.6n.0006.label 06 R_Superior-insula -0.005 4.38e-01 0.03 8.67e-02 0.012 3.63e-01 -0.025 7.78e-05
cluster.thickness.6n.0007.label 07 R_Planum-temporale 0.006 2.77e-01 -0.005 7.92e-01 -0.035 6.00e-03 0.02 1.63e-03
cluster.thickness.6n.0008.label 08 R_Posterior-cingulate -0.007 2.32e-01 -0.013 4.53e-01 0.013 3.13e-01 -0.022 3.87e-04
cluster.thickness.6n.0009.label 09 R_Anterior-insula -0.007 2.30e-01 -0.046 8.39e-03 -0.127 1.55e-23 -0.005 4.02e-01
