labs roi roiname cognition.effect p.cog hand.effect p sex.effect p.1 icv.effect p.2
cluster.thickness.6p.0001.label 01 L_Cingulate -0.005 3.91e-01 0.022 1.86e-01 -0.001 9.39e-01 0.036 6.81e-10
cluster.thickness.6p.0002.label 02 L_Superior-frontal-gyrus -0.003 4.79e-01 -0.028 3.88e-02 0.058 2.71e-09 0.006 2.58e-01
cluster.thickness.6p.0003.label 03 L_Postcentral 0.003 5.57e-01 -0.091 3.70e-09 0.008 4.57e-01 -0.036 5.61e-11
cluster.thickness.6p.0004.label 04 L_Precentral 0.006 2.84e-01 -0.032 4.51e-02 -0.001 9.63e-01 0.017 3.01e-03
cluster.thickness.6p.0005.label 05  L_Supplementary-motor-cortex 0.005 2.95e-01 0.013 4.08e-01 -0.025 2.66e-02 0.012 3.79e-02
cluster.thickness.6p.0006.label 06 L_Collateral-sulcus 0.012 3.23e-02 0.033 4.46e-02 -0.022 6.31e-02 0.008 1.59e-01
cluster.thickness.6p.0007.label 07 L_Anterior-transverse-collateral-sulcus 0 9.81e-01 0.035 2.97e-02 -0.018 1.16e-01 -0.02 4.35e-04
cluster.thickness.6p.0008.label 08  L_Caudal-middle-frontal -0.006 2.69e-01 -0.014 3.67e-01 0.028 1.48e-02 0.002 7.71e-01
cluster.thickness.6p.0009.label 09 L_Caudal-superior-frontal 0 9.53e-01 0.029 8.73e-02 -0.072 4.84e-09 0.007 2.79e-01
cluster.thickness.6p.0010.label 10 L_Rostral-superior-frontal -0.005 3.60e-01 0.052 1.82e-03 -0.045 1.57e-04 0.03 1.05e-06
cluster.thickness.6p.0011.label 11 L_Calcarine-sulcus  -0.001 8.11e-01 0.011 5.14e-01 -0.01 4.07e-01 0.025 2.90e-05
cluster.thickness.6n.0001.label 01 R_Superior-temporal-sulcus 0.018 5.67e-05 -0.031 2.24e-02 0.08 2.42e-16 0.02 3.89e-05
cluster.thickness.6n.0002.label 02 R_Lateral-occipital 0.012 1.01e-02 -0.008 5.83e-01 -0.007 4.89e-01 0.032 2.21e-10
cluster.thickness.6n.0003.label 03 R_Lingual-gyrus 0.002 7.60e-01 0.035 2.07e-02 -0.029 7.38e-03 -0.023 1.94e-05
cluster.thickness.6n.0004.label 04 R_Posterior-insula_Sylvian 0.006 2.80e-01 -0.003 8.61e-01 0.057 7.47e-07 0.034 2.68e-09
cluster.thickness.6n.0005.label 05 R_Entorhinal 0.004 4.92e-01 -0.008 6.10e-01 -0.048 3.03e-05 0.024 2.13e-05
cluster.thickness.6n.0006.label 06 R_Superior-insula 0.002 6.43e-01 0.035 3.20e-02 0.015 2.05e-01 -0.024 4.25e-05
cluster.thickness.6n.0007.label 07 R_Planum-temporale 0.014 9.62e-03 -0.002 8.90e-01 -0.032 5.57e-03 0.017 3.38e-03
cluster.thickness.6n.0008.label 08 R_Posterior-cingulate -0.002 6.93e-01 -0.01 5.69e-01 0.016 2.00e-01 -0.021 4.61e-04
cluster.thickness.6n.0009.label 09 R_Anterior-insula -0.003 6.39e-01 -0.043 1.01e-02 -0.117 2.94e-22 -0.003 6.00e-01
