cluster roiname edf F p omegasq hemif hemip sexeffect p.sex modelrsqad nobs Outliers_excluded
cluster.area.6p.0001.label L_Postcentral-gyrus_Supramarginal 3.1 33.9 0.00e+00 0.013 0.06 0.00e+00 0.05 5.06e-02 0.393 7874 0
cluster.area.6p.0002.label L_Anterior-temporal_Parahippocampal-gyrus 4.3 11.7 0.00e+00 0.006 0.04 0.00e+00 0.05 5.05e-02 0.341 7870 2
cluster.area.6p.0003.label L_Anterior-cingulate_Subcallosal 4.6 17.9 0.00e+00 0.01 0.04 3.05e-94 0.07 7.30e-02 0.105 7874 0
cluster.area.6p.0004.label L_Anterior-insula 1.8 18.8 1.80e-06 0.004 0.04 0.00e+00 0.03 3.36e-02 0.245 7870 2
cluster.area.6p.0005.label L_Retrosplenial-cortex 4.3 25 0.00e+00 0.013 0.04 0.00e+00 0.05 4.94e-02 0.189 7872 1
cluster.area.6p.0006.label L_Temporal-pole_Inferior-temporal-gyrus 1 14.8 1.21e-04 0.002 0.06 0.00e+00 0.07 6.57e-02 0.21 7868 3
cluster.area.6p.0007.label L_Superior-frontal-gyrus 4.6 8.2 2.62e-07 0.004 0.03 6.84e-86 0.07 7.31e-02 0.155 7874 0
cluster.area.6n.0001.label R_Parieto-occipital_sulcus 2.3 21.4 0.00e+00 0.006 -0.06 0.00e+00 0.07 7.14e-02 0.268 7868 3
cluster.area.6n.0002.label R_Inferior-parietal_Lateral-occipital 4.2 12.7 0.00e+00 0.006 -0.08 0.00e+00 0.08 7.67e-02 0.291 7874 0
cluster.area.6n.0003.label R_Cingulate 3.9 5.5 1.43e-04 0.002 -0.05 0.00e+00 0.03 3.48e-02 0.189 7874 0
cluster.area.6n.0004.label R_Middle-frontal-gyrus 4.8 6.7 3.59e-06 0.003 -0.05 6.49e-200 0.1 1.04e-01 0.283 7874 0
cluster.area.6n.0005.label R_Superior-temporal-sulcus 1 3.3 7.10e-02 0 -0.04 0.00e+00 0.05 4.92e-02 0.273 7872 1
cluster.area.6n.0006.label R_Superior-frontal-gyrus 4.5 3.9 1.27e-03 0.002 -0.05 0.00e+00 0.09 8.82e-02 0.299 7874 0
cluster.area.6n.0007.label R_Gyrus-rectus 4.4 1.5 1.12e-01 0 -0.07 0.00e+00 0.05 5.28e-02 0.297 7874 0
CLUSTER.AREA.6P.MERGE17.LABEL M2 3.8 14 0.00e+00 0.006 0.05 0.00e+00 0.05 5.09e-02 0.423 7872 1
CLUSTER.AREA.6N.MERGE17.LABEL M1 3 28.8 0.00e+00 0.01 -0.06 0.00e+00 0.07 6.88e-02 0.424 7862 6
