cluster roiname edf F p omegasq hemif hemip sexeffect p.sex modelrsqad nobs Outliers_excluded
cluster.thickness.6p.0001.label L_Cingulate 4 5.6 1.71e-04 0.002 0.19 0.00e+00 0.03 2.83e-02 0.441 7874 0
cluster.thickness.6p.0002.label L_Superior-frontal-gyrus 4 15.7 0.00e+00 0.007 0.07 2.06e-286 -0.02 -1.61e-02 0.796 7866 4
cluster.thickness.6p.0003.label L_Postcentral 4.6 14.7 0.00e+00 0.008 0.04 6.28e-100 -0.04 -3.92e-02 0.593 7866 4
cluster.thickness.6p.0004.label L_Precentral 4.1 13.4 0.00e+00 0.006 0.06 1.16e-182 -0.02 -2.21e-02 0.523 7872 1
cluster.thickness.6p.0005.label L_Supplementary-motor-cortex 1 13.5 2.37e-04 0.002 0.09 2.62e-197 -0.05 -4.81e-02 0.269 7872 1
cluster.thickness.6p.0006.label L_Collateral-sulcus 4.5 12.5 0.00e+00 0.007 0.06 4.73e-130 -0.02 -1.53e-02 0.382 7862 6
cluster.thickness.6p.0007.label L_Anterior-transverse-collateral-sulcus 1 8.8 3.10e-03 0.001 0.04 1.91e-38 0.02 1.87e-02 0.191 7866 4
cluster.thickness.6p.0008.label L_Caudal-middle-frontal 3.6 9.2 4.42e-06 0.004 0.02 3.07e-23 -0.02 -1.65e-02 0.683 7866 4
cluster.thickness.6p.0009.label L_Caudal-superior-frontal 2.1 9.1 9.61e-05 0.002 0.07 4.67e-89 -0.04 -3.87e-02 0.422 7874 0
cluster.thickness.6p.0010.label L_Rostral-superior-frontal 3.8 29.2 0.00e+00 0.013 0.07 1.46e-108 0 -4.34e-03 0.651 7868 3
cluster.thickness.6p.0011.label L_Calcarine-sulcus 3.8 7.2 1.53e-05 0.003 0.06 3.17e-130 0.06 5.85e-02 0.584 7862 6
cluster.thickness.6n.0001.label R_Superior-temporal-sulcus 3.5 41.6 0.00e+00 0.018 -0.11 0.00e+00 -0.01 -8.84e-03 0.728 7866 4
cluster.thickness.6n.0002.label R_Lateral-occipital 2.3 8 2.52e-04 0.002 -0.06 0.00e+00 -0.01 -1.46e-02 0.539 7870 2
cluster.thickness.6n.0003.label R_Lingual-gyrus 1 26.7 3.30e-07 0.003 -0.11 0.00e+00 0.01 1.45e-02 0.511 7866 4
cluster.thickness.6n.0004.label R_Posterior-insula_Sylvian 1 28.6 0.00e+00 0.003 -0.1 0.00e+00 -0.01 -7.12e-03 0.678 7870 2
cluster.thickness.6n.0005.label R_Entorhinal 3.8 6.8 1.43e-04 0.003 -0.18 0.00e+00 0 -1.32e-03 0.238 7856 9
cluster.thickness.6n.0006.label R_Superior-insula 1 4.7 2.95e-02 0 -0.05 4.43e-117 0.02 1.59e-02 0.606 7862 6
cluster.thickness.6n.0007.label R_Planum-temporale 4.7 26 0.00e+00 0.015 -0.08 2.12e-209 -0.03 -3.15e-02 0.588 7864 5
cluster.thickness.6n.0008.label R_Posterior-cingulate 4.9 11.8 0.00e+00 0.007 -0.05 2.78e-135 -0.01 -9.56e-03 0.623 7862 6
cluster.thickness.6n.0009.label R_Anterior-insula 4 12.6 0.00e+00 0.006 -0.07 3.40e-161 0.01 9.60e-03 0.522 7872 1
CLUSTER.THICKNESS.6P.MERGE111.LABEL M2 3.9 4.9 4.56e-04 0.002 0.09 0.00e+00 -0.01 -6.01e-03 0.778 7870 2
CLUSTER.THICKNESS.6N.MERGE19.LABEL M1 3.9 33.5 0.00e+00 0.016 -0.09 0.00e+00 -0.01 -6.96e-03 0.747 7862 6
