,R_Parieto-occipital_sulcus,R_Inferior-parietal_Lateral-occipital,R_Cingulate,R_Middle-frontal-gyrus,R_Superior-temporal-sulcus,R_Superior-frontal-gyrus,R_Gyrus-rectus,L_Postcentral-gyrus_Supramarginal,L_Anterior-temporal_Parahippocampal-gyrus,L_Anterior-cingulate_Subcallosal,L_Anterior-insula,L_Retrosplenial-cortex,L_Temporal-pole_Inferior-temporal-gyrus,L_Superior-frontal-gyrus
R_Parieto-occipital_sulcus,0.0,49.99753225320171,58.95291937958228,176.41946838106486,108.74802414664268,155.5058157520833,167.59914775098858,85.17832948814554,54.98366305965485,144.32470828404075,148.78451709316838,45.19392622991242,107.6980773174495,113.91993479802814
R_Inferior-parietal_Lateral-occipital,43.737239613993886,0.0,116.12591963158498,189.79855300198193,35.4714691271929,191.7977569989764,168.35202186085107,42.08164381438477,74.37320794475761,168.291932645591,120.63598075925022,99.80080766209562,97.50288841418455,144.61968418340476
R_Cingulate,64.15930270347629,104.74752470901107,0.0,85.69254915726182,160.15267706797002,58.428921058498645,75.26554570738033,94.34162388285603,66.79669266482723,47.38560349395178,130.8494634862166,30.389668713261045,122.45035280634129,35.31063309195582
R_Middle-frontal-gyrus,161.48253836792344,177.6189070113676,64.12805178233673,0.0,176.48497926063115,33.18780723206179,56.38289427621428,107.98536928390071,110.87400375286327,63.61202085186345,83.39263182600506,127.62571924644689,146.61693515843731,64.11677302838591
R_Superior-temporal-sulcus,85.26895534685161,13.73601125022446,148.15986638604718,172.92446031143152,0.0,171.46701196767057,131.13826161051261,38.22597259228299,28.33230158262841,135.08063088320972,101.45707034582996,123.31075546457907,65.8360174503334,176.06503247968647
R_Superior-frontal-gyrus,130.46514839870702,166.0797033895766,27.41392323145382,26.845264463629032,166.3519411516156,0.0,23.90118328896985,136.04152643056622,100.7377006933837,24.80346966543503,107.75413099784859,96.18611963553961,136.48063209895807,46.64776915422964
R_Gyrus-rectus,140.4343947889792,161.87939640127618,41.79231086143627,58.52861521871408,133.81165145358506,26.582530559511227,0.0,108.65386229330497,68.19741099535314,13.92014434240876,75.67957863146613,109.33661597134615,103.9403424009276,79.68979336752669
L_Postcentral-gyrus_Supramarginal,87.35977843383574,48.89890454854864,131.43074229455095,128.32540869094737,61.541050478143966,157.5672080323495,131.0992199131204,0.0,74.43745738591217,132.9626790054712,65.40242763092054,125.67629748199032,120.98620693318648,125.7709394823658
L_Anterior-temporal_Parahippocampal-gyrus,74.95922444590816,79.92558883298946,87.709894842247,123.23692509974174,64.26417387877116,120.06308060536048,81.65824201329322,63.52080733099821,0.0,85.35270089445598,61.98424264178895,65.7112301579703,33.49419693052817,138.78722603818727
L_Anterior-cingulate_Subcallosal,125.82983620902507,155.95740221361555,24.50746204992888,62.114635530236576,132.0080135081392,28.914012670079654,17.01586475234819,106.85022434785938,66.39377304990742,0.0,73.89752952836096,91.9913085663586,102.13670445548183,65.06925637406704
L_Anterior-insula,121.11011096290781,117.0980980414011,107.02097792376149,75.89118696845912,95.58550103873677,107.1493251952246,66.83860099698902,48.27175975556723,33.986318534068495,70.84194481747424,0.0,110.50688815300668,74.44354112673497,144.4728817611277
L_Retrosplenial-cortex,20.430499188102356,83.02884109753442,10.627310834201383,133.04875935399664,118.06040550460524,107.84955887555809,119.94893360110656,84.11151220858406,18.9306692102792,95.55759566378323,120.19332264711721,0.0,77.07712750651953,70.76835217838124
L_Temporal-pole_Inferior-temporal-gyrus,81.19093675577884,77.86630633757336,97.9439632823039,139.99561744197632,58.86984483007015,138.53816909821492,98.20941874105722,86.02911264318978,17.80605316079156,102.15178801375437,79.95001721910398,72.34338542557997,0.0,161.02516156357032
L_Superior-frontal-gyrus,90.57115629445404,114.47840452158567,20.56700842382962,55.63164974930102,175.26356973125453,46.499639246977964,79.38122562647345,82.67398901668653,96.83542620282275,56.92342833022173,143.55779933264145,58.09455526155403,154.9465367479253,0.0
