,R_Superior-temporal-sulcus,R_Lateral-occipital,R_Lingual-gyrus,R_Posterior-insula_Sylvian,R_Entorhinal,R_Superior-insula,R_Planum-temporale,R_Posterior-cingulate,R_Anterior-insula,L_Cingulate,L_Superior-frontal-gyrus,L_Postcentral,L_Precentral,L_Supplementary-motor-cortex,L_Collateral-sulcus,L_Anterior-transverse-collateral-sulcus,L_Caudal-middle-frontal,L_Caudal-superior-frontal,L_Rostral-superior-frontal,L_Calcarine-sulcus
R_Superior-temporal-sulcus,0.0,46.01452275685746,93.65638357270586,54.877115967168564,73.86358734508796,75.65622029597287,28.61795735012352,117.94320855111069,99.26394652530159,120.33607303145678,165.99811479216135,62.391231869059375,86.16547279935897,129.8584908522073,86.23591985728855,69.12457870308691,147.42504556721101,159.93746818046236,173.1354805032512,110.11512771199092
R_Lateral-occipital,34.60023923185377,0.0,42.62287938281268,108.57326588713727,84.69673480399845,134.7769441386693,73.44656894938674,72.4550582712533,149.96609278564915,88.09800331374667,175.54265888178614,99.11889829851958,129.38768930043005,137.63499378603737,57.704822502913146,62.47644233076894,188.8826306756692,140.86451714109745,203.3340318038743,66.32893924369206
R_Lingual-gyrus,80.53746409028179,28.373954010280766,0.0,121.29120101017514,38.11769330872935,105.25026882274133,120.88280946992334,32.17034839905023,104.45161918294905,35.39492317238675,146.53150113186408,125.12661499645303,151.05039197382058,127.15792443844494,26.34234101776984,56.91225917864909,180.06779288525155,98.2926221265232,154.9129095174453,13.94121771674066
R_Posterior-insula_Sylvian,19.14345731703658,90.44602805907074,113.41417504363125,0.0,67.06450575782169,21.60198880205033,29.948528596217237,130.67843429731374,63.654411719855474,115.7452955373031,123.17024387991646,28.53395192205698,29.61591887005999,97.49720710258572,109.61635827994162,107.91044477178467,91.26987254000976,145.69395706639284,139.93614908805037,127.1578643685576
R_Entorhinal,55.21524036724222,61.284929616306954,29.53625318155997,66.28768204885031,0.0,50.25766104960201,100.43001993060352,67.51184356874364,49.61860278494013,63.331680188406764,141.0888720247521,112.05712262601891,97.47392741752563,153.08700468436834,24.929975206242553,25.51222194125836,131.1145725481344,124.20379608686189,124.15227447278592,43.913389317572666
R_Superior-insula,42.04305836820292,119.42458124966849,88.91261204846776,20.670887773646722,42.58635507444126,0.0,64.29458253110465,127.0232613270818,28.856784249889483,86.41337125659953,108.7303909518874,53.22642198735709,33.28241398961343,114.24907485668608,85.11479528477798,83.49375968803606,81.59312822723328,155.2808016711389,109.16442725471047,103.45134622284873
R_Planum-temporale,17.061120627377257,54.10686985337363,117.55722019734203,26.388310689042253,92.81626592162641,57.65581837183711,0.0,101.27214090926871,97.39960056268167,128.0651145685454,138.7399666059001,23.548690605191908,50.761651365879075,97.13342087563706,116.48126605887687,100.47496363390759,112.46085430479604,135.78820764803046,171.98418833755056,120.83195918429148
R_Posterior-cingulate,81.23763588992679,54.278279415511676,26.288004225834502,123.92827130733957,61.441511361577795,128.92055122193946,100.19930320272414,0.0,128.12190158214722,21.231202368888148,132.06759749637135,88.00055538472533,138.63398651024033,94.71646887603119,56.47696188384267,84.8208536513364,167.06330775390072,84.33639147494723,147.0329595484615,12.490339385042194
R_Anterior-insula,63.977704005308865,125.68439145433737,90.93486095045336,58.1873613898438,44.61894531001268,26.691788319850527,98.88726271523247,129.04551022906753,0.0,74.2783335517073,78.34060978118261,80.84353854099645,46.349397828437716,127.95086408045832,87.13704418676357,85.51600859002171,65.21001874660995,148.65943626273028,74.90073694440699,105.47359512483463
L_Cingulate,116.98442196590285,102.42994158350211,70.03270439868896,135.43789953729043,78.66509681776526,120.41976783182855,141.2765735142518,64.09295924901814,108.76240211573696,0.0,72.56789449833279,110.14895698139372,138.3912357678908,75.19611032221256,84.29483765332999,108.01867854818217,108.9191881214594,45.69836839260562,69.88069166528972,61.199273985922574
